Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2024-12-31 10:00,SX,21448.5,10,428215,-767.4,-0.18,178.8,0.04,-761.2,-0.18,-767.4,-1.53,2
1,Entry short,2024-12-31 09:50,Short,21410.75,10,428215,-767.4,-0.18,178.8,0.04,-761.2,-0.18,-767.4,-1.53,2
2,Exit long,2025-01-02 11:00,LX,21252.5,6,255795,-772.44,-0.30,41.28,0.02,-768.72,-0.30,-1539.84,-3.08,2
2,Entry long,2025-01-02 10:50,Long,21316.25,6,255795,-772.44,-0.30,41.28,0.02,-768.72,-0.30,-1539.84,-3.08,2
3,Exit short,2025-01-07 09:55,SX,21716.25,10,435120,782.6,0.18,788.8,0.18,-286.2,-0.07,-757.24,-1.51,1
3,Entry short,2025-01-07 09:50,Short,21756,10,435120,782.6,0.18,788.8,0.18,-286.2,-0.07,-757.24,-1.51,1
4,Exit short,2025-01-08 10:10,SX,21312,7,298924.5,547.82,0.18,552.16,0.18,-217.84,-0.07,-209.42,-0.42,1
4,Entry short,2025-01-08 10:05,Short,21351.75,7,298924.5,547.82,0.18,552.16,0.18,-217.84,-0.07,-209.42,-0.42,1
5,Exit long,2025-01-10 10:00,LX,21023.25,12,505320,-776.88,-0.15,0,0.00,-769.44,-0.15,-986.3,-1.97,1
5,Entry long,2025-01-10 09:55,Long,21055,12,505320,-776.88,-0.15,0,0.00,-769.44,-0.15,-986.3,-1.97,1
6,Exit short,2025-01-14 09:55,SX,20966.5,5,210062.5,391.3,0.19,394.4,0.19,-248.1,-0.12,-595,-1.19,1
6,Entry short,2025-01-14 09:50,Short,21006.25,5,210062.5,391.3,0.19,394.4,0.19,-248.1,-0.12,-595,-1.19,1
7,Exit short,2025-01-15 10:00,SX,21347.75,12,511578,-782.88,-0.15,646.56,0.13,-775.44,-0.15,-1377.88,-2.76,2
7,Entry short,2025-01-15 09:50,Short,21315.75,12,511578,-782.88,-0.15,646.56,0.13,-775.44,-0.15,-1377.88,-2.76,2
8,Exit short,2025-01-16 10:00,SX,21338,10,427555,782.6,0.18,788.8,0.18,-481.2,-0.11,-595.28,-1.19,1
8,Entry short,2025-01-16 09:55,Short,21377.75,10,427555,782.6,0.18,788.8,0.18,-481.2,-0.11,-595.28,-1.19,1
9,Exit short,2025-01-17 10:20,SX,21500.25,9,387720,704.34,0.18,709.92,0.18,-541.08,-0.14,109.06,0.22,3
9,Entry short,2025-01-17 10:05,Short,21540,9,387720,704.34,0.18,709.92,0.18,-541.08,-0.14,109.06,0.22,3
10,Exit short,2025-01-21 10:05,SX,21633.25,10,431900,-777.4,-0.18,268.8,0.06,-771.2,-0.18,-668.34,-1.34,1
10,Entry short,2025-01-21 10:00,Short,21595,10,431900,-777.4,-0.18,268.8,0.06,-771.2,-0.18,-668.34,-1.34,1
11,Exit short,2025-01-23 10:30,SX,21919.5,18,788319,-805.32,-0.10,1086.84,0.14,-794.16,-0.10,-1473.66,-2.95,7
11,Entry short,2025-01-23 09:55,Short,21897.75,18,788319,-805.32,-0.10,1086.84,0.14,-794.16,-0.10,-1473.66,-2.95,7
12,Exit short,2025-01-24 10:25,SX,21987.75,8,352440,626.08,0.18,631.04,0.18,-172.96,-0.05,-847.58,-1.70,5
12,Entry short,2025-01-24 10:00,Short,22027.5,8,352440,626.08,0.18,631.04,0.18,-172.96,-0.05,-847.58,-1.70,5
13,Exit short,2025-01-28 10:10,SX,21369.25,7,298455.5,-722.68,-0.24,20.16,0.01,-718.34,-0.24,-1570.26,-3.14,1
13,Entry short,2025-01-28 10:05,Short,21318.25,7,298455.5,-722.68,-0.24,20.16,0.01,-718.34,-0.24,-1570.26,-3.14,1
14,Exit short,2025-01-29 10:25,SX,21496,15,646072.5,1173.9,0.18,1183.2,0.18,-624.3,-0.10,-396.36,-0.79,3
14,Entry short,2025-01-29 10:10,Short,21535.75,15,646072.5,1173.9,0.18,1183.2,0.18,-624.3,-0.10,-396.36,-0.79,3
15,Exit short,2025-01-30 10:00,SX,21632.5,5,216722.5,391.3,0.18,394.4,0.18,-50.6,-0.02,-5.06,-0.01,1
15,Entry short,2025-01-30 09:55,Short,21672.25,5,216722.5,391.3,0.18,394.4,0.18,-50.6,-0.02,-5.06,-0.01,1
16,Exit long,2025-02-03 10:10,LX,21143.25,7,296803.5,-806.68,-0.27,23.66,0.01,-802.34,-0.27,-811.74,-1.62,1
16,Entry long,2025-02-03 10:05,Long,21200.25,7,296803.5,-806.68,-0.27,23.66,0.01,-802.34,-0.27,-811.74,-1.62,1
17,Exit short,2025-02-05 10:35,SX,21591.25,5,215162.5,-756.2,-0.35,84.4,0.04,-753.1,-0.35,-1567.94,-3.14,7
17,Entry short,2025-02-05 10:00,Short,21516.25,5,215162.5,-756.2,-0.35,84.4,0.04,-753.1,-0.35,-1567.94,-3.14,7
