Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-05-28 10:05,LX,30032.75,10,599860,782.6,0.13,788.8,0.13,-606.2,-0.10,782.6,1.57,2
1,Entry long,2026-05-28 09:55,Long,29993,10,599860,782.6,0.13,788.8,0.13,-606.2,-0.10,782.6,1.57,2
2,Exit short,2026-05-29 11:10,SX,30396.75,10,606800,-1147.4,-0.19,123.8,0.02,-1141.2,-0.19,-364.8,-0.73,4
2,Entry short,2026-05-29 10:50,Short,30340,10,606800,-1147.4,-0.19,123.8,0.02,-1141.2,-0.19,-364.8,-0.73,4
3,Exit long,2026-06-01 10:20,LX,30414.25,10,607490,782.6,0.13,788.8,0.13,-776.2,-0.13,417.8,0.84,3
3,Entry long,2026-06-01 10:05,Long,30374.5,10,607490,782.6,0.13,788.8,0.13,-776.2,-0.13,417.8,0.84,3
4,Exit short,2026-06-02 09:55,SX,30585,10,611175,-537.4,-0.09,478.8,0.08,-531.2,-0.09,-119.6,-0.24,1
4,Entry short,2026-06-02 09:50,Short,30558.75,10,611175,-537.4,-0.09,478.8,0.08,-531.2,-0.09,-119.6,-0.24,1
5,Exit long,2026-06-03 10:00,LX,30612.5,10,611455,782.6,0.13,788.8,0.13,-826.2,-0.14,663,1.33,2
5,Entry long,2026-06-03 09:50,Long,30572.75,10,611455,782.6,0.13,788.8,0.13,-826.2,-0.14,663,1.33,2
6,Exit long,2026-06-04 09:55,LX,30285.75,10,604920,782.6,0.13,788.8,0.13,-281.2,-0.05,1445.6,2.89,1
6,Entry long,2026-06-04 09:50,Long,30246,10,604920,782.6,0.13,788.8,0.13,-281.2,-0.05,1445.6,2.89,1
7,Exit short,2026-06-09 10:00,SX,29632,10,593435,782.6,0.13,788.8,0.13,-846.2,-0.14,2228.2,4.46,1
7,Entry short,2026-06-09 09:55,Short,29671.75,10,593435,782.6,0.13,788.8,0.13,-846.2,-0.14,2228.2,4.46,1
8,Exit long,2026-06-10 09:55,LX,29069,10,580585,782.6,0.13,788.8,0.14,-536.2,-0.09,3010.8,6.02,1
8,Entry long,2026-06-10 09:50,Long,29029.25,10,580585,782.6,0.13,788.8,0.14,-536.2,-0.09,3010.8,6.02,1
9,Exit short,2026-06-11 10:55,SX,28720.25,10,575200,782.6,0.14,788.8,0.14,-21.2,0.00,3793.4,7.59,1
9,Entry short,2026-06-11 10:50,Short,28760,10,575200,782.6,0.14,788.8,0.14,-21.2,0.00,3793.4,7.59,1
10,Exit short,2026-06-12 10:05,SX,29440.5,10,589605,782.6,0.13,788.8,0.13,-11.2,0.00,4576,9.15,1
10,Entry short,2026-06-12 10:00,Short,29480.25,10,589605,782.6,0.13,788.8,0.13,-11.2,0.00,4576,9.15,1
11,Exit long,2026-06-16 10:15,LX,30791.75,10,616610,-787.4,-0.13,538.8,0.09,-781.2,-0.13,3788.6,7.58,3
11,Entry long,2026-06-16 10:00,Long,30830.5,10,616610,-787.4,-0.13,538.8,0.09,-781.2,-0.13,3788.6,7.58,3
12,Exit long,2026-06-17 09:55,LX,30425.25,10,609460,-967.4,-0.16,78.8,0.01,-961.2,-0.16,2821.2,5.64,1
12,Entry long,2026-06-17 09:50,Long,30473,10,609460,-967.4,-0.16,78.8,0.01,-961.2,-0.16,2821.2,5.64,1
