date,pnl_usd,trade_num
2024-12-31,-767.40,1
2025-01-02,-772.44,2
2025-01-07,782.60,3
2025-01-08,547.82,4
2025-01-10,-776.88,5
2025-01-14,391.30,6
2025-01-15,-782.88,7
2025-01-16,782.60,8
2025-01-17,704.34,9
2025-01-21,-777.40,10
2025-01-23,-805.32,11
2025-01-24,626.08,12
2025-01-28,-722.68,13
2025-01-29,1173.90,14
2025-01-30,391.30,15
2025-02-03,-806.68,16
2025-02-05,-756.20,17
2025-02-06,-833.52,18
2025-02-07,704.34,19
2025-02-11,-802.62,20
2025-02-12,-761.64,21
2025-02-13,-783.12,22
2025-02-19,-801.36,23
2025-02-26,-847.96,1
2025-02-28,-834.80,2
2025-03-03,469.56,3
2025-03-06,-834.54,4
2025-03-07,469.56,5
2025-03-10,-828.60,6
2025-03-13,391.30,7
2025-03-14,-824.80,8
2025-03-17,-801.92,9
2025-03-20,1095.64,10
2025-03-21,-783.70,11
2025-03-25,-724.44,12
2025-03-26,-745.92,13
2025-03-27,469.56,14
2025-03-31,782.60,15
2025-04-01,547.82,16
2025-04-02,-729.68,17
2025-04-04,391.30,18
2025-04-14,-803.18,19
2025-04-15,-733.92,20
2025-04-16,782.60,21
2025-04-17,704.34,22
2025-04-28,391.30,1
2025-04-29,704.34,2
2025-05-01,547.82,3
2025-05-05,547.82,4
2025-05-08,469.56,5
2025-05-09,-830.28,6
2025-05-14,-742.44,7
2025-05-15,782.60,8
2025-05-16,-828.60,9
2025-05-21,-808.36,10
2025-05-26,1956.50,11
2025-05-28,1095.64,12
2025-05-29,-754.44,13
2025-05-30,1095.64,14
2025-06-02,704.34,15
2025-06-04,860.86,16
2025-06-05,-752.40,17
2025-06-09,-772.64,18
2025-06-10,782.60,19
2025-06-11,-814.80,20
2025-06-12,-828.58,21
2025-06-13,-840.56,22
2025-06-17,-821.56,1
2025-06-18,-806.10,2
2025-06-24,-824.80,3
2025-06-26,-822.12,4
2025-06-27,-821.56,5
2025-06-30,-855.68,6
2025-07-01,-872.64,7
2025-07-02,-805.32,8
2025-07-06,1424.64,9
2025-07-08,-733.92,10
2025-07-10,860.86,11
2025-07-11,782.60,12
2025-07-16,626.08,13
2025-07-18,939.12,14
2025-07-22,-794.36,15
2025-07-23,-741.92,16
2025-07-24,626.08,17
2025-07-25,-805.32,18
2025-07-28,-851.24,19
2025-07-29,1095.64,20
2025-07-30,-831.06,21
2025-07-31,-820.08,22
2025-08-05,860.86,23
2025-08-06,-741.92,24
2025-08-07,547.82,25
2025-08-08,1408.68,26
2025-08-12,704.34,1
2025-08-13,1095.64,2
2025-08-14,704.34,3
2025-08-15,-820.08,4
2025-08-18,782.60,5
2025-08-19,-726.18,6
2025-08-22,-747.18,7
2025-08-25,-856.00,8
2025-08-28,626.08,9
2025-09-03,-788.88,10
2025-09-04,1017.38,11
2025-09-05,704.34,12
2025-09-09,-835.84,13
2025-09-10,-749.16,14
2025-09-17,-829.36,16
2025-09-18,-795.84,17
2025-09-22,-811.84,18
2025-09-24,-814.80,19
2025-09-26,469.56,20
2025-09-30,391.30,21
2025-10-01,547.82,22
2025-10-02,-809.12,23
2025-10-03,860.86,24
2025-10-07,1252.16,1
2025-10-10,860.86,2
2025-10-13,-787.36,3
2025-10-14,782.60,4
2025-10-16,860.86,5
2025-10-17,704.34,6
2025-10-22,-822.02,7
2025-10-23,860.86,8
2025-10-24,-727.44,9
2025-10-29,782.60,10
2025-10-30,-794.16,11
2025-11-03,1330.42,12
2025-11-10,626.08,13
2025-11-12,-721.44,14
2025-11-14,391.30,15
2025-11-17,547.82,16
2025-11-20,626.08,17
2025-11-26,547.82,18
2025-11-28,-832.32,19
2025-12-05,1173.90,1
2025-12-08,782.60,2
2025-12-09,939.12,3
2025-12-10,-841.28,4
2025-12-11,626.08,5
2025-12-15,-821.10,6
2025-12-16,547.82,7
2025-12-17,-822.12,8
2025-12-22,626.08,9
2025-12-23,782.60,10
2025-12-26,939.12,11
2025-12-30,1095.64,12
2025-12-31,-802.40,13
2026-01-02,-819.84,14
2026-01-06,860.86,15
2026-01-07,-809.12,16
2026-01-08,-788.70,17
2026-01-09,-819.84,18
2026-01-13,860.86,19
2026-01-16,626.08,20
2026-01-19,939.12,21
2026-01-22,547.82,22
2026-01-30,547.82,1
2026-02-06,547.82,2
2026-02-09,-761.18,3
2026-02-10,1878.24,4
2026-02-12,-785.92,5
2026-02-13,391.30,6
2026-02-17,469.56,7
2026-02-19,782.60,8
2026-02-23,391.30,9
2026-02-24,782.60,10
2026-02-26,704.34,11
2026-02-27,391.30,12
2026-03-02,-730.44,13
2026-03-03,704.34,14
2026-03-04,-805.32,15
2026-03-05,782.60,16
2026-03-09,469.56,17
2026-03-10,469.56,18
2026-03-11,-865.92,19
2026-03-12,-693.70,20
2026-03-13,469.56,21
2026-03-18,704.34,22
2026-03-19,-688.70,23
2026-03-25,860.86,1
2026-03-26,-716.20,2
2026-03-30,391.30,3
2026-03-31,1330.42,4
2026-04-02,469.56,5
2026-04-06,2113.02,6
2026-04-08,391.30,7
2026-04-09,547.82,8
2026-04-10,-782.88,9
2026-04-20,626.08,10
2026-04-21,-815.36,11
