Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-08-12 10:05,LX,23713.5,9,425947.5,884.34,0.21,889.92,0.21,-109.08,-0.03,884.34,1.77,1
1,Entry long,2025-08-12 10:00,Long,23663.75,9,425947.5,884.34,0.21,889.92,0.21,-109.08,-0.03,884.34,1.77,1
2,Exit long,2025-08-18 10:45,LX,23743,10,475655,-807.4,-0.17,828.8,0.17,-801.2,-0.17,76.94,0.15,9
2,Entry long,2025-08-18 10:00,Long,23782.75,10,475655,-807.4,-0.17,828.8,0.17,-801.2,-0.17,76.94,0.15,9
3,Exit short,2025-09-03 10:10,SX,23383.75,14,656138,1375.64,0.21,1384.32,0.21,-519.68,-0.08,1452.58,2.91,1
3,Entry short,2025-09-03 10:05,Short,23433.5,14,656138,1375.64,0.21,1384.32,0.21,-519.68,-0.08,1452.58,2.91,1
4,Exit long,2025-09-17 10:25,LX,24445.75,14,685293,-829.36,-0.12,159.32,0.02,-820.68,-0.12,623.22,1.25,3
4,Entry long,2025-09-17 10:10,Long,24474.75,14,685293,-829.36,-0.12,159.32,0.02,-820.68,-0.12,623.22,1.25,3
5,Exit short,2025-09-22 10:20,SX,24890.25,14,696150,-794.36,-0.11,103.32,0.01,-785.68,-0.11,-171.14,-0.34,2
5,Entry short,2025-09-22 10:10,Short,24862.5,14,696150,-794.36,-0.11,103.32,0.01,-785.68,-0.11,-171.14,-0.34,2
6,Exit long,2025-10-03 10:20,LX,25065.25,38,1905795,-883.12,-0.05,1857.44,0.10,-859.56,-0.05,-1054.26,-2.11,2
6,Entry long,2025-10-03 10:10,Long,25076.25,38,1905795,-883.12,-0.05,1857.44,0.10,-859.56,-0.05,-1054.26,-2.11,2
