date,pnl_usd,trade_num
2025-01-28,-722.68,1
2025-02-11,-802.62,2
2025-04-16,982.60,1
2025-04-29,-749.16,1
2025-05-05,-841.28,2
2025-05-21,-808.36,3
2025-07-07,1965.20,1
2025-07-28,-851.24,2
2025-07-29,-856.98,3
2025-08-12,884.34,1
2025-08-18,-807.40,2
2025-09-03,1375.64,3
2025-09-17,-829.36,4
2025-09-22,-794.36,5
2025-10-03,-883.12,6
2025-11-17,687.82,1
2025-12-10,1375.64,1
2025-12-31,1768.68,2
2026-03-05,982.60,1
2026-03-31,1670.42,1
2026-04-21,-815.36,2
2026-04-23,1572.16,3
2026-05-07,-794.58,4
2026-05-28,1080.86,1
2026-07-10,1179.12,2
