Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-07-28 10:05,SX_AP,23526.25,26,1222546,-851.24,-0.07,139.88,0.01,-835.12,-0.07,-851.24,-1.70,1
1,Entry short,2025-07-28 10:00,Short_AP,23510.5,26,1222546,-851.24,-0.07,139.88,0.01,-835.12,-0.07,-851.24,-1.70,1
2,Exit long,2025-07-29 11:05,LX_A,23512.75,27,1270512,-856.98,-0.07,766.26,0.06,-840.24,-0.07,-1708.22,-3.42,2
2,Entry long,2025-07-29 10:55,Long_A,23528,27,1270512,-856.98,-0.07,766.26,0.06,-840.24,-0.07,-1708.22,-3.42,2
3,Exit short,2025-08-11 10:10,SX_A,23749.25,17,806684,-811.58,-0.10,99.96,0.01,-801.04,-0.10,-2519.8,-5.04,2
3,Entry short,2025-08-11 10:00,Short_A,23726,17,806684,-811.58,-0.10,99.96,0.01,-801.04,-0.10,-2519.8,-5.04,2
4,Exit long,2025-08-12 10:05,LX_A,23703.5,9,425947.5,704.34,0.17,709.92,0.17,-109.08,-0.03,-1815.46,-3.63,1
4,Entry long,2025-08-12 10:00,Long_A,23663.75,9,425947.5,704.34,0.17,709.92,0.17,-109.08,-0.03,-1815.46,-3.63,1
5,Exit long,2025-08-18 10:45,LX_AP,23743,10,475655,-807.4,-0.17,828.8,0.17,-801.2,-0.17,-2622.86,-5.25,9
5,Entry long,2025-08-18 10:00,Long_AP,23782.75,10,475655,-807.4,-0.17,828.8,0.17,-801.2,-0.17,-2622.86,-5.25,9
6,Exit long,2025-08-29 11:20,LX_A,23490,13,609706.5,1017.38,0.17,1025.44,0.17,-177.06,-0.03,-1605.48,-3.21,4
6,Entry long,2025-08-29 11:00,Long_A,23450.25,13,609706.5,1017.38,0.17,1025.44,0.17,-177.06,-0.03,-1605.48,-3.21,4
