date,pnl_usd,trade_num,tier,signal
2025-07-16,-395.36,1,PRB,PRB|Long
2025-07-23,-429.08,2,PRB,PRB|Long
2025-07-25,-83.84,3,PRB,PRB|Short
2025-07-29,-856.98,4,A,MAC|Long_A
2025-08-07,1887.60,5,PRB,PRB|Short
2025-08-08,-22.62,6,PRB,PRB|Short
2025-08-11,-811.58,7,A,MAC|Short_A
2025-08-12,704.34,8,A,MAC|Long_A
2025-08-13,-24.36,9,PRB,PRB|Long
2025-08-29,1017.38,10,A,MAC|Long_A
2025-09-03,-22.62,11,PRB,PRB|Short
2025-09-11,-741.92,12,A,MAC|Short_A
2025-09-17,-829.36,13,A,MAC|Long_A
2025-09-22,-794.36,14,A,MAC|Short_A
2025-09-23,-26.10,15,PRB,PRB|Long
2025-09-30,1975.20,16,PRB,PRB|Short
2025-11-04,1916.40,17,PRB,PRB|Short
2025-11-05,-418.32,18,PRB,PRB|Short
2025-11-17,547.82,19,A,MAC|Short_A
2025-11-18,1935.12,20,PRB,PRB|Long
2025-11-25,-410.88,21,PRB,PRB|Short
2025-11-26,-17.40,22,PRB,PRB|Long
2025-12-02,1330.42,23,A,MAC|Short_A
2025-12-16,1935.12,24,PRB,PRB|Short
2025-12-31,1408.68,25,A,MAC|Long_A
2026-01-02,1905.12,26,PRB,PRB|Long
2026-01-06,-27.84,27,PRB,PRB|Short
2026-01-07,-403.84,28,PRB,PRB|Short
2026-01-15,-17.40,29,PRB,PRB|Long
2026-01-16,-177.40,30,PRB,PRB|Long
2026-01-21,-337.40,31,PRB,PRB|Short
2026-01-22,-230.62,32,PRB,PRB|Short
2026-01-28,-427.32,33,PRB,PRB|Long
2026-02-10,1942.64,34,PRB,PRB|Short
2026-02-17,-402.36,35,PRB,PRB|Long
2026-03-05,782.60,36,A,MAC|Short_A
2026-03-19,-20.88,37,PRB,PRB|Short
2026-03-20,-22.62,38,PRB,PRB|Long
2026-03-26,-17.40,39,PRB,PRB|Long
2026-04-02,-409.36,40,PRB,PRB|Short
2026-04-21,-398.64,41,PRB,PRB|Short
2026-04-23,1252.16,42,A,MAC|Short_A
2026-04-28,-117.40,43,PRB,PRB|Long
2026-04-30,-26.10,44,PRB,PRB|Short
2026-05-04,1017.38,45,A,MAC|Short_A
2026-05-21,1924.16,46,PRB,PRB|Short
2026-05-26,-20.88,47,PRB,PRB|Short
2026-05-29,1937.60,48,PRB,PRB|Short
2026-06-05,1938.86,49,PRB,PRB|Long
2026-06-10,-404.14,50,PRB,PRB|Short
2026-06-17,-404.88,51,PRB,PRB|Long
2026-06-24,-410.88,52,PRB,PRB|Short
2026-07-08,-416.10,53,PRB,PRB|Long
2026-07-10,939.12,54,A,MAC|Short_A
