date,pnl_usd,trade_num,tier,signal
2025-07-16,-395.36,1,PRB,PRB|Long
2025-07-23,-429.08,2,PRB,PRB|Long
2025-07-25,-83.84,3,PRB,PRB|Short
2025-07-29,-856.98,4,A,MACQ|Long_A
2025-08-07,1887.60,5,PRB,PRB|Short
2025-08-08,-22.62,6,PRB,PRB|Short
2025-08-11,-811.58,7,A,MACQ|Short_A
2025-08-13,-24.36,8,PRB,PRB|Long
2025-08-29,1017.38,9,A,MACQ|Long_A
2025-09-03,-22.62,10,PRB,PRB|Short
2025-09-17,-829.36,11,A,MACQ|Long_A
2025-09-22,-794.36,12,A,MACQ|Short_A
2025-09-23,-26.10,13,PRB,PRB|Long
2025-09-30,1975.20,14,PRB,PRB|Short
2025-11-04,1916.40,15,PRB,PRB|Short
2025-11-05,-418.32,16,PRB,PRB|Short
2025-11-17,547.82,17,A,MACQ|Short_A
2025-11-18,1935.12,18,PRB,PRB|Long
2025-11-25,-410.88,19,PRB,PRB|Short
2025-11-26,-17.40,20,PRB,PRB|Long
2025-12-02,1330.42,21,A,MACQ|Short_A
2025-12-16,1935.12,22,PRB,PRB|Short
2025-12-31,1408.68,23,A,MACQ|Long_A
2026-01-02,1905.12,24,PRB,PRB|Long
2026-01-06,-27.84,25,PRB,PRB|Short
2026-01-07,-403.84,26,PRB,PRB|Short
2026-01-15,-17.40,27,PRB,PRB|Long
2026-01-16,-177.40,28,PRB,PRB|Long
2026-01-21,-337.40,29,PRB,PRB|Short
2026-01-22,-230.62,30,PRB,PRB|Short
2026-01-28,-427.32,31,PRB,PRB|Long
2026-02-10,1942.64,32,PRB,PRB|Short
2026-02-17,-402.36,33,PRB,PRB|Long
2026-03-05,782.60,34,A,MACQ|Short_A
2026-03-19,-20.88,35,PRB,PRB|Short
2026-03-20,-22.62,36,PRB,PRB|Long
2026-03-26,-17.40,37,PRB,PRB|Long
2026-04-02,-409.36,38,PRB,PRB|Short
2026-04-21,-398.64,39,PRB,PRB|Short
2026-04-23,1252.16,40,A,MACQ|Short_A
2026-04-28,-117.40,41,PRB,PRB|Long
2026-04-30,-26.10,42,PRB,PRB|Short
2026-05-04,1017.38,43,A,MACQ|Short_A
2026-05-21,1924.16,44,PRB,PRB|Short
2026-05-26,-20.88,45,PRB,PRB|Short
2026-05-29,1937.60,46,PRB,PRB|Short
2026-06-05,1938.86,47,PRB,PRB|Long
2026-06-10,-404.14,48,PRB,PRB|Short
2026-06-17,-404.88,49,PRB,PRB|Long
2026-06-24,-410.88,50,PRB,PRB|Short
2026-07-08,-416.10,51,PRB,PRB|Long
2026-07-10,939.12,52,A,MACQ|Short_A
