date,pnl_usd,trade_num,tier,signal
2025-07-16,-395.36,1,PRB,Long_PRB
2025-07-23,-429.08,2,PRB,Long_PRB
2025-07-25,-83.84,3,PRB,Short_PRB
2025-07-28,-851.24,4,A,Short_A
2025-07-29,-856.98,5,A,Long_A
2025-08-07,2267.60,6,PRB,Short_PRB
2025-08-08,-22.62,7,PRB,Short_PRB
2025-08-11,-811.58,8,A,Short_A
2025-08-13,-24.36,9,PRB,Long_PRB
2025-08-18,782.60,10,A,Long_A
2025-08-29,1017.38,11,A,Long_A
2025-09-03,1095.64,12,A,Short_A
2025-09-17,-829.36,13,A,Long_A
2025-09-22,-794.36,14,A,Short_A
2025-09-23,-26.10,15,PRB,Long_PRB
2025-09-30,2375.20,16,PRB,Short_PRB
2025-11-04,2298.90,17,PRB,Short_PRB
2025-11-05,-418.32,18,PRB,Short_PRB
2025-11-17,547.82,19,A,Short_A
2025-11-18,2325.12,20,PRB,Long_PRB
2025-11-25,-410.88,21,PRB,Short_PRB
2025-11-26,-17.40,22,PRB,Long_PRB
2025-12-02,1330.42,23,A,Short_A
2025-12-10,1095.64,24,A,Long_A
2025-12-16,2325.12,25,PRB,Short_PRB
2025-12-31,1408.68,26,A,Long_A
2026-01-02,2289.12,27,PRB,Long_PRB
2026-01-06,-27.84,28,PRB,Short_PRB
2026-01-07,-403.84,29,PRB,Short_PRB
2026-01-15,-17.40,30,PRB,Long_PRB
2026-01-16,-177.40,31,PRB,Long_PRB
2026-01-21,-337.40,32,PRB,Short_PRB
2026-01-22,-230.62,33,PRB,Short_PRB
2026-01-26,-813.54,34,A,Short_A
2026-01-28,-427.32,35,PRB,Long_PRB
2026-02-10,2334.64,36,PRB,Short_PRB
2026-02-17,-402.36,37,PRB,Long_PRB
2026-03-05,782.60,38,A,Short_A
2026-03-19,-20.88,39,PRB,Short_PRB
2026-03-20,-22.62,40,PRB,Long_PRB
2026-03-26,-17.40,41,PRB,Long_PRB
2026-04-02,-409.36,42,PRB,Short_PRB
2026-04-23,1252.16,43,A,Short_A
2026-04-28,-117.40,44,PRB,Long_PRB
2026-04-30,-26.10,45,PRB,Short_PRB
2026-05-04,1017.38,46,A,Short_A
2026-05-07,-794.58,47,A,Short_A
2026-05-21,2308.16,48,PRB,Short_PRB
2026-05-26,-20.88,49,PRB,Short_PRB
2026-05-29,2327.60,50,PRB,Short_PRB
2026-06-05,2329.36,51,PRB,Long_PRB
2026-06-10,-404.14,52,PRB,Short_PRB
2026-06-17,-404.88,53,PRB,Long_PRB
2026-06-24,-410.88,54,PRB,Short_PRB
2026-07-08,-416.10,55,PRB,Long_PRB
2026-07-10,939.12,56,A,Short_A
