Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-12-01 16:00,flat 15:55,16031.25,1,31989,-74.74,-0.23,9.88,0.03,-87.12,-0.27,-74.74,-0.15,3
1,Entry short,2023-12-01 13:00,RPR_S,15994.5,1,31989,-74.74,-0.23,9.88,0.03,-87.12,-0.27,-74.74,-0.15,3
2,Exit short,2024-01-10 16:00,flat 15:55,16955.75,1,33960,47.26,0.14,174.38,0.51,-7.12,-0.02,-27.48,-0.05,2
2,Entry short,2024-01-10 14:00,RPR_S,16980,1,33960,47.26,0.14,174.38,0.51,-7.12,-0.02,-27.48,-0.05,2
3,Exit short,2024-01-30 02:00,RPR_SX,17699,6,212673,277.56,0.13,281.28,0.13,-66.72,-0.03,250.08,0.50,2
3,Entry short,2024-01-30 00:00,RPR_S,17722.75,6,212673,277.56,0.13,281.28,0.13,-66.72,-0.03,250.08,0.50,2
4,Exit short,2024-02-13 10:00,RPR_SX,17729,1,35322,-137.24,-0.39,148.38,0.42,-136.62,-0.39,112.84,0.23,2
4,Entry short,2024-02-13 08:00,RPR_S,17661,1,35322,-137.24,-0.39,148.38,0.42,-136.62,-0.39,112.84,0.23,2
5,Exit short,2024-02-16 13:00,RPR_SX,17813.75,3,107142,255.78,0.24,257.64,0.24,-7.86,-0.01,368.62,0.74,1
5,Entry short,2024-02-16 12:00,RPR_S,17857,3,107142,255.78,0.24,257.64,0.24,-7.86,-0.01,368.62,0.74,1
6,Exit short,2024-03-18 09:00,RPR_SX,18343.75,1,36553,-135.74,-0.37,12.88,0.04,-135.12,-0.37,232.88,0.47,1
6,Entry short,2024-03-18 08:00,RPR_S,18276.5,1,36553,-135.74,-0.37,12.88,0.04,-135.12,-0.37,232.88,0.47,1
7,Exit short,2024-05-22 14:00,RPR_SX,18695.25,1,37542,150.26,0.40,150.88,0.40,-2.12,-0.01,383.14,0.77,1
7,Entry short,2024-05-22 13:00,RPR_S,18771,1,37542,150.26,0.40,150.88,0.40,-2.12,-0.01,383.14,0.77,1
