date,pnl_usd,trade_num,tier,signal,direction,qty,mfe_usd,mae_usd,duration_bars,entry_price,exit_price
2025-07-28,-425.62,1,A+,Short_AP,short,26,139.88,-835.12,1,23510.50,23526.25
2025-07-29,-428.49,2,A,Long_A,long,27,766.26,-840.24,2,23528.00,23512.75
2025-08-11,-405.79,3,A,Short_A,short,17,99.96,-801.04,2,23726.00,23749.25
2025-08-12,352.17,4,A,Long_A,long,9,709.92,-109.08,1,23663.75,23703.50
2025-08-18,-403.70,5,A+,Long_AP,long,10,828.80,-801.20,9,23782.75,23743.00
2025-08-29,508.69,6,A,Long_A,long,13,1025.44,-177.06,4,23450.25,23490.00
2025-09-03,687.82,7,A+,Short_AP,short,14,1384.32,-519.68,1,23433.50,23383.75
2025-09-11,-370.96,8,A,Short_A,short,8,187.04,-736.96,5,23958.75,24004.50
2025-09-17,-414.68,9,A,Long_A,long,14,159.32,-820.68,3,24474.75,24445.75
2025-09-22,-397.18,10,A,Short_A,short,14,103.32,-785.68,2,24862.50,24890.25
2025-11-17,273.91,11,A,Short_A,short,7,552.16,-235.34,1,25199.50,25159.75
2025-12-02,665.21,12,A,Short_A,short,17,1340.96,-571.54,2,25647.50,25607.75
2025-12-15,-191.59,13,H,Long_H,long,7,104.16,-378.84,1,25191.50,25164.75
2025-12-31,704.34,14,A,Long_A,long,18,1419.84,-290.16,11,25563.75,25603.50
2026-01-26,-406.77,15,A+,Short_AP,short,21,1267.98,-800.52,6,25881.25,25900.00
2026-03-05,391.30,16,A,Short_A,short,10,788.80,-186.20,1,25171.00,25131.25
2026-03-26,-359.35,17,A+,Long_AP,long,5,276.90,-715.60,16,24102.75,24031.50
2026-04-21,-407.68,18,A+,Short_AP,short,14,82.32,-806.68,1,26826.50,26855.00
2026-04-23,626.08,19,A,Short_A,short,16,1262.08,-73.92,1,27057.75,27018.00
2026-04-30,116.52,20,H,Long_H,long,4,235.52,-80.48,1,27247.50,27277.25
2026-05-04,508.69,21,A,Short_A,short,13,1025.44,-554.06,1,27870.00,27830.25
2026-05-08,-429.97,22,A+,Short_AP,short,31,879.78,-840.72,1,29161.50,29174.75
2026-05-21,-203.84,23,H,Short_H,short,7,62.16,-403.34,1,29287.50,29316.00
2026-05-28,540.43,24,A+,Long_AP,long,11,1087.68,-122.32,2,29954.25,30004.00
2026-07-01,174.78,25,H,Short_H,short,6,353.28,-324.72,1,30287.00,30257.25
2026-07-10,469.56,26,A,Short_A,short,12,946.56,-715.44,5,29937.25,29897.50
