Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-21 10:25,LX_A,15577.25,6,187302,-382.44,-0.20,470.28,0.25,-378.72,-0.20,-382.44,-0.76,4
1,Entry long,2023-07-21 10:05,Long_A,15608.5,6,187302,-382.44,-0.20,470.28,0.25,-378.72,-0.20,-382.44,-0.76,4
2,Exit long,2023-08-04 10:15,LX_A,15464.25,6,185094,469.56,0.25,473.28,0.26,-111.72,-0.06,87.12,0.17,2
2,Entry long,2023-08-04 10:05,Long_A,15424.5,6,185094,469.56,0.25,473.28,0.26,-111.72,-0.06,87.12,0.17,2
3,Exit long,2023-08-17 10:10,LX_A,14902,9,268614,-389.16,-0.14,39.42,0.01,-383.58,-0.14,-302.04,-0.60,1
3,Entry long,2023-08-17 10:05,Long_A,14923,9,268614,-389.16,-0.14,39.42,0.01,-383.58,-0.14,-302.04,-0.60,1
4,Exit long,2023-08-18 10:15,LX_AP,14614,6,175749,-388.44,-0.22,125.28,0.07,-384.72,-0.22,-690.48,-1.38,3
4,Entry long,2023-08-18 10:00,Long_AP,14645.75,6,175749,-388.44,-0.22,125.28,0.07,-384.72,-0.22,-690.48,-1.38,3
5,Exit long,2023-10-31 10:10,LX_A,14381,6,172095,469.56,0.27,473.28,0.28,-234.72,-0.14,-220.92,-0.44,3
5,Entry long,2023-10-31 09:55,Long_A,14341.25,6,172095,469.56,0.27,473.28,0.28,-234.72,-0.14,-220.92,-0.44,3
6,Exit short,2023-11-15 11:40,SX_A,15920.5,11,351125.5,860.86,0.25,867.68,0.25,-182.82,-0.05,639.94,1.28,9
6,Entry short,2023-11-15 10:55,Short_A,15960.25,11,351125.5,860.86,0.25,867.68,0.25,-182.82,-0.05,639.94,1.28,9
7,Exit short,2023-11-27 11:50,SX_AP,16052.75,7,224374.5,-372.68,-0.17,279.16,0.12,-368.34,-0.16,267.26,0.53,10
7,Entry short,2023-11-27 11:00,Short_AP,16026.75,7,224374.5,-372.68,-0.17,279.16,0.12,-368.34,-0.16,267.26,0.53,10
8,Exit short,2023-12-01 10:15,SX_H,15898.25,2,63712,116.52,0.18,117.76,0.18,-58.24,-0.09,383.78,0.77,2
8,Entry short,2023-12-01 10:05,Short_H,15928,2,63712,116.52,0.18,117.76,0.18,-58.24,-0.09,383.78,0.77,2
9,Exit short,2023-12-27 10:10,SX_A,17072,14,479129,1095.64,0.23,1104.32,0.23,-43.68,-0.01,1479.42,2.96,2
9,Entry short,2023-12-27 10:00,Short_A,17111.75,14,479129,1095.64,0.23,1104.32,0.23,-43.68,-0.01,1479.42,2.96,2
10,Exit short,2024-01-19 10:55,SX_AP,17234.25,3,103042.5,-366.72,-0.36,25.14,0.02,-364.86,-0.35,1112.7,2.23,10
10,Entry short,2024-01-19 10:05,Short_AP,17173.75,3,103042.5,-366.72,-0.36,25.14,0.02,-364.86,-0.35,1112.7,2.23,10
11,Exit long,2024-01-26 10:05,LX_AP,17514,5,175492.5,-358.7,-0.20,0,0.00,-355.6,-0.20,754,1.51,2
11,Entry long,2024-01-26 09:55,Long_AP,17549.25,5,175492.5,-358.7,-0.20,0,0.00,-355.6,-0.20,754,1.51,2
12,Exit short,2024-02-08 10:20,SX_AP,17864.5,10,356880,-422.4,-0.12,198.8,0.06,-416.2,-0.12,331.6,0.66,3
12,Entry short,2024-02-08 10:05,Short_AP,17844,10,356880,-422.4,-0.12,198.8,0.06,-416.2,-0.12,331.6,0.66,3
13,Exit short,2024-02-09 10:15,SX_AP,17955.25,8,286908,-385.92,-0.13,139.04,0.05,-380.96,-0.13,-54.32,-0.11,3
13,Entry short,2024-02-09 10:00,Short_AP,17931.75,8,286908,-385.92,-0.13,139.04,0.05,-380.96,-0.13,-54.32,-0.11,3
14,Exit short,2024-03-01 10:10,SX_H,18179.75,1,36254,-106.74,-0.29,0.88,0.00,-106.12,-0.29,-161.06,-0.32,2
14,Entry short,2024-03-01 10:00,Short_H,18127,1,36254,-106.74,-0.29,0.88,0.00,-106.12,-0.29,-161.06,-0.32,2
15,Exit short,2024-03-28 10:00,SX_A,18538.25,7,259175,-369.18,-0.14,0,0.00,-364.84,-0.14,-530.24,-1.06,1
15,Entry short,2024-03-28 09:55,Short_A,18512.5,7,259175,-369.18,-0.14,0,0.00,-364.84,-0.14,-530.24,-1.06,1
16,Exit long,2024-04-12 10:15,LX_AP,18264.75,7,256074,-376.18,-0.15,233.66,0.09,-371.84,-0.15,-906.42,-1.81,1
16,Entry long,2024-04-12 10:10,Long_AP,18291,7,256074,-376.18,-0.15,233.66,0.09,-371.84,-0.15,-906.42,-1.81,1
17,Exit short,2024-04-18 11:10,SX_A,17733.25,5,176957.5,-381.2,-0.22,1.9,0.00,-378.1,-0.21,-1287.62,-2.58,2
17,Entry short,2024-04-18 11:00,Short_A,17695.75,5,176957.5,-381.2,-0.22,1.9,0.00,-378.1,-0.21,-1287.62,-2.58,2
18,Exit short,2024-04-30 10:30,SX_A,17822.75,6,214350,469.56,0.22,473.28,0.22,-270.72,-0.13,-818.06,-1.64,6
18,Entry short,2024-04-30 10:00,Short_A,17862.5,6,214350,469.56,0.22,473.28,0.22,-270.72,-0.13,-818.06,-1.64,6
19,Exit long,2024-05-01 10:00,LX_A,17453.75,8,279668,-417.92,-0.15,247.04,0.09,-412.96,-0.15,-1235.98,-2.47,1
19,Entry long,2024-05-01 09:55,Long_A,17479.25,8,279668,-417.92,-0.15,247.04,0.09,-412.96,-0.15,-1235.98,-2.47,1
20,Exit long,2024-05-17 11:00,LX_AP,18638.25,10,372770,-17.4,0.00,763.8,0.20,-341.2,-0.09,-1253.38,-2.51,13
20,Entry long,2024-05-17 09:55,Long_AP,18638.5,10,372770,-17.4,0.00,763.8,0.20,-341.2,-0.09,-1253.38,-2.51,13
21,Exit long,2024-05-31 10:10,LX_A,18527.25,17,630334.5,-429.08,-0.07,65.96,0.01,-418.54,-0.07,-1682.46,-3.36,1
21,Entry long,2024-05-31 10:05,Long_A,18539.25,17,630334.5,-429.08,-0.07,65.96,0.01,-418.54,-0.07,-1682.46,-3.36,1
22,Exit short,2024-06-04 14:15,SX_H,18665.5,1,37187,-145.24,-0.39,50.88,0.14,-144.62,-0.39,-1827.7,-3.66,50
22,Entry short,2024-06-04 10:05,Short_H,18593.5,1,37187,-145.24,-0.39,50.88,0.14,-144.62,-0.39,-1827.7,-3.66,50
23,Exit short,2024-06-26 10:00,SX_AP,20001,6,239658,-361.44,-0.15,119.28,0.05,-357.72,-0.15,-2189.14,-4.38,1
23,Entry short,2024-06-26 09:55,Short_AP,19971.5,6,239658,-361.44,-0.15,119.28,0.05,-357.72,-0.15,-2189.14,-4.38,1
24,Exit short,2024-07-03 09:55,SX_A,20280.75,14,567469,-409.36,-0.07,271.32,0.05,-400.68,-0.07,-2598.5,-5.20,1
24,Entry short,2024-07-03 09:50,Short_A,20266.75,14,567469,-409.36,-0.07,271.32,0.05,-400.68,-0.07,-2598.5,-5.20,1
25,Exit long,2024-07-26 10:20,LX_AP,19137.25,4,152700,393.04,0.26,395.52,0.26,-192.48,-0.13,-2205.46,-4.41,2
