Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-07-28 10:05,SX_AP,23526.25,13,611273,-425.62,-0.07,69.94,0.01,-417.56,-0.07,-425.62,-0.85,1
1,Entry short,2025-07-28 10:00,Short_AP,23510.5,13,611273,-425.62,-0.07,69.94,0.01,-417.56,-0.07,-425.62,-0.85,1
2,Exit long,2025-07-29 11:05,LX_A,23512.75,13,611728,-412.62,-0.07,368.94,0.06,-404.56,-0.07,-838.24,-1.68,2
2,Entry long,2025-07-29 10:55,Long_A,23528,13,611728,-412.62,-0.07,368.94,0.06,-404.56,-0.07,-838.24,-1.68,2
3,Exit short,2025-08-11 10:10,SX_A,23749.25,8,379616,-381.92,-0.10,47.04,0.01,-376.96,-0.10,-1220.16,-2.44,2
3,Entry short,2025-08-11 10:00,Short_A,23726,8,379616,-381.92,-0.10,47.04,0.01,-376.96,-0.10,-1220.16,-2.44,2
4,Exit long,2025-08-12 10:05,LX_A,23703.5,4,189310,313.04,0.17,315.52,0.17,-48.48,-0.03,-907.12,-1.81,1
4,Entry long,2025-08-12 10:00,Long_A,23663.75,4,189310,313.04,0.17,315.52,0.17,-48.48,-0.03,-907.12,-1.81,1
5,Exit long,2025-08-18 10:45,LX_AP,23743,5,237827.5,-403.7,-0.17,414.4,0.17,-400.6,-0.17,-1310.82,-2.62,9
5,Entry long,2025-08-18 10:00,Long_AP,23782.75,5,237827.5,-403.7,-0.17,414.4,0.17,-400.6,-0.17,-1310.82,-2.62,9
6,Exit long,2025-08-29 11:20,LX_A,23490,6,281403,469.56,0.17,473.28,0.17,-81.72,-0.03,-841.26,-1.68,4
6,Entry long,2025-08-29 11:00,Long_A,23450.25,6,281403,469.56,0.17,473.28,0.17,-81.72,-0.03,-841.26,-1.68,4
7,Exit short,2025-09-03 10:10,SX_AP,23383.75,7,328069,687.82,0.21,692.16,0.21,-259.84,-0.08,-153.44,-0.31,1
7,Entry short,2025-09-03 10:05,Short_AP,23433.5,7,328069,687.82,0.21,692.16,0.21,-259.84,-0.08,-153.44,-0.31,1
8,Exit short,2025-09-11 10:35,SX_A,24004.5,4,191670,-370.96,-0.19,93.52,0.05,-368.48,-0.19,-524.4,-1.05,5
8,Entry short,2025-09-11 10:10,Short_A,23958.75,4,191670,-370.96,-0.19,93.52,0.05,-368.48,-0.19,-524.4,-1.05,5
9,Exit long,2025-09-17 10:25,LX_A,24445.75,7,342646.5,-414.68,-0.12,79.66,0.02,-410.34,-0.12,-939.08,-1.88,3
9,Entry long,2025-09-17 10:10,Long_A,24474.75,7,342646.5,-414.68,-0.12,79.66,0.02,-410.34,-0.12,-939.08,-1.88,3
10,Exit short,2025-09-22 10:20,SX_A,24890.25,7,348075,-397.18,-0.11,51.66,0.01,-392.84,-0.11,-1336.26,-2.67,2
10,Entry short,2025-09-22 10:10,Short_A,24862.5,7,348075,-397.18,-0.11,51.66,0.01,-392.84,-0.11,-1336.26,-2.67,2
11,Exit short,2025-11-17 10:00,SX_A,25159.75,3,151197,234.78,0.16,236.64,0.16,-100.86,-0.07,-1101.48,-2.20,1
11,Entry short,2025-11-17 09:55,Short_A,25199.5,3,151197,234.78,0.16,236.64,0.16,-100.86,-0.07,-1101.48,-2.20,1
12,Exit short,2025-12-02 11:05,SX_A,25607.75,8,410360,626.08,0.15,631.04,0.15,-268.96,-0.07,-475.4,-0.95,2
12,Entry short,2025-12-02 10:55,Short_A,25647.5,8,410360,626.08,0.15,631.04,0.15,-268.96,-0.07,-475.4,-0.95,2
13,Exit long,2025-12-15 10:10,LX_H,25164.75,3,151149,-164.22,-0.11,44.64,0.03,-162.36,-0.11,-639.62,-1.28,1
13,Entry long,2025-12-15 10:05,Long_H,25191.5,3,151149,-164.22,-0.11,44.64,0.03,-162.36,-0.11,-639.62,-1.28,1
14,Exit long,2025-12-31 11:55,LX_A,25603.5,9,460147.5,704.34,0.15,709.92,0.15,-145.08,-0.03,64.72,0.13,11
14,Entry long,2025-12-31 11:00,Long_A,25563.75,9,460147.5,704.34,0.15,709.92,0.15,-145.08,-0.03,64.72,0.13,11
15,Exit short,2026-01-26 11:25,SX_AP,25900,10,517625,-387.4,-0.07,603.8,0.12,-381.2,-0.07,-322.68,-0.65,6
15,Entry short,2026-01-26 10:55,Short_AP,25881.25,10,517625,-387.4,-0.07,603.8,0.12,-381.2,-0.07,-322.68,-0.65,6
