Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-07-03 10:17,ShortX,29920.75,10,598275,-152.4,-0.03,12.4,18.8,0.00,-256.2,-0.04,-152.4,-0.30,1
1,Entry short,2026-07-03 10:16,leave · 1RB · Rfb · LMT,29913.75,10,598275,-152.4,-0.03,12.4,18.8,0.00,-256.2,-0.04,-152.4,-0.30,1
2,Exit long,2026-07-07 10:08,LongX,29420,10,588850,-462.4,-0.08,12.4,638.8,0.11,-456.2,-0.08,-614.8,-1.23,2
2,Entry long,2026-07-07 10:06,leave · 1RB · Rfb · LMT,29442.5,10,588850,-462.4,-0.08,12.4,638.8,0.11,-456.2,-0.08,-614.8,-1.23,2
3,Exit short,2026-07-08 10:12,ShortX,29260.25,10,586805,1587.6,0.27,12.4,1593.8,0.27,-76.2,-0.01,972.8,1.95,4
3,Entry short,2026-07-08 10:08,leave · 1RB · Rfb · LMT,29340.25,10,586805,1587.6,0.27,12.4,1593.8,0.27,-76.2,-0.01,972.8,1.95,4
4,Exit short,2026-07-08 12:50,ShortX,29360.5,10,586810,-412.4,-0.07,12.4,628.8,0.11,-406.2,-0.07,560.4,1.12,10
4,Entry short,2026-07-08 12:40,Powell · Cont · 1RB · OTE · Rfb · LMT,29340.5,10,586810,-412.4,-0.07,12.4,628.8,0.11,-406.2,-0.07,560.4,1.12,10
5,Exit long,2026-07-09 12:06,LongX,29921.75,10,596835,1587.6,0.27,12.4,1593.8,0.27,-241.2,-0.04,2148,4.30,55
5,Entry long,2026-07-09 11:11,Powell · Judas · 1RB · OTE · Rfb · LMT,29841.75,10,596835,1587.6,0.27,12.4,1593.8,0.27,-241.2,-0.04,2148,4.30,55
6,Exit long,2026-07-10 10:08,LongX,29911,10,598375,-167.4,-0.03,12.4,63.8,0.01,-161.2,-0.03,1980.6,3.96,1
6,Entry long,2026-07-10 10:07,leave · 1RB · Rfb · LMT,29918.75,10,598375,-167.4,-0.03,12.4,63.8,0.01,-161.2,-0.03,1980.6,3.96,1
7,Exit long,2026-07-13 10:05,LongX,29576.25,10,591705,-192.4,-0.03,12.4,318.8,0.05,-441.2,-0.07,1788.2,3.58,1
7,Entry long,2026-07-13 10:04,leave · 1RB · Rfb · LMT,29585.25,10,591705,-192.4,-0.03,12.4,318.8,0.05,-441.2,-0.07,1788.2,3.58,1
