Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2026-07-01 10:14,LongX,30280.5,10,605905,-307.4,-0.05,12.4,543.8,0.09,-301.2,-0.05,-307.4,-0.61,1
1,Entry long,2026-07-01 10:13,leave · 1RB · Rfb · LMT,30295.25,10,605905,-307.4,-0.05,12.4,543.8,0.09,-301.2,-0.05,-307.4,-0.61,1
2,Exit long,2026-07-01 11:03,LongX,30253,10,603085,1962.6,0.33,12.4,1968.8,0.33,-211.2,-0.04,1655.2,3.31,5
2,Entry long,2026-07-01 10:58,Powell · Cont · 1RB · OTE · Rfb · LMT,30154.25,10,603085,1962.6,0.33,12.4,1968.8,0.33,-211.2,-0.04,1655.2,3.31,5
3,Exit short,2026-07-02 10:02,ShortX,30282.5,10,605345,-317.4,-0.05,12.4,113.8,0.02,-391.2,-0.06,1337.8,2.68,1
3,Entry short,2026-07-02 10:01,leave · 1RB · Rfb · LMT,30267.25,10,605345,-317.4,-0.05,12.4,113.8,0.02,-391.2,-0.06,1337.8,2.68,1
4,Exit short,2026-07-08 12:50,ShortX,29360.5,10,586810,-412.4,-0.07,12.4,628.8,0.11,-406.2,-0.07,925.4,1.85,10
4,Entry short,2026-07-08 12:40,Powell · Cont · 1RB · OTE · Rfb · LMT,29340.5,10,586810,-412.4,-0.07,12.4,628.8,0.11,-406.2,-0.07,925.4,1.85,10
5,Exit long,2026-07-09 12:06,LongX,29921.75,10,596835,1587.6,0.27,12.4,1593.8,0.27,-241.2,-0.04,2513,5.03,55
5,Entry long,2026-07-09 11:11,Powell · Judas · 1RB · OTE · Rfb · LMT,29841.75,10,596835,1587.6,0.27,12.4,1593.8,0.27,-241.2,-0.04,2513,5.03,55
6,Exit long,2026-07-10 10:19,LongX,29904,10,598440,-372.4,-0.06,12.4,588.8,0.10,-366.2,-0.06,2140.6,4.28,4
6,Entry long,2026-07-10 10:15,leave · 1RB · Rfb · LMT,29922,10,598440,-372.4,-0.06,12.4,588.8,0.10,-366.2,-0.06,2140.6,4.28,4
7,Exit long,2026-07-13 10:59,LongX,29710,10,592325,1862.6,0.31,12.4,1868.8,0.32,-261.2,-0.04,4003.2,8.01,14
7,Entry long,2026-07-13 10:45,leave · 1RB · Rfb · LMT,29616.25,10,592325,1862.6,0.31,12.4,1868.8,0.32,-261.2,-0.04,4003.2,8.01,14
8,Exit short,2026-07-14 12:40,ShortX,29798,10,595715,-257.4,-0.04,12.4,98.8,0.02,-251.2,-0.04,3745.8,7.49,2
8,Entry short,2026-07-14 12:38,Powell · Cont · 1RB · OTE · Rfb · LMT,29785.75,10,595715,-257.4,-0.04,12.4,98.8,0.02,-251.2,-0.04,3745.8,7.49,2
9,Exit long,2026-07-16 11:25,LongX,29426.75,10,586935,1587.6,0.27,12.4,1593.8,0.27,-211.2,-0.04,5333.4,10.67,9
9,Entry long,2026-07-16 11:16,Powell · Cont · 1RB · OTE+KO · Rfb · LMT,29346.75,10,586935,1587.6,0.27,12.4,1593.8,0.27,-211.2,-0.04,5333.4,10.67,9
10,Exit long,2026-07-23 10:22,LongX,28776.25,10,573925,1587.6,0.28,12.4,1593.8,0.28,-16.2,0.00,6921,13.84,2
10,Entry long,2026-07-23 10:20,Powell · Cont · 1RB · OTE · Rfb · LMT,28696.25,10,573925,1587.6,0.28,12.4,1593.8,0.28,-16.2,0.00,6921,13.84,2
