Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-07-08 12:50,ShortX,29360.5,10,586810,-412.4,-0.07,12.4,628.8,0.11,-406.2,-0.07,-412.4,-0.82,10
1,Entry short,2026-07-08 12:40,Powell · Cont · 1RB · OTE · Rfb · LMT,29340.5,10,586810,-412.4,-0.07,12.4,628.8,0.11,-406.2,-0.07,-412.4,-0.82,10
2,Exit long,2026-07-09 12:06,LongX,29921.75,10,596835,1587.6,0.27,12.4,1593.8,0.27,-241.2,-0.04,1175.2,2.35,55
2,Entry long,2026-07-09 11:11,Powell · Judas · 1RB · OTE · Rfb · LMT,29841.75,10,596835,1587.6,0.27,12.4,1593.8,0.27,-241.2,-0.04,1175.2,2.35,55
3,Exit long,2026-07-10 10:19,LongX,29904,10,598440,-372.4,-0.06,12.4,588.8,0.10,-366.2,-0.06,802.8,1.61,4
3,Entry long,2026-07-10 10:15,leave · 1RB · Rfb · LMT,29922,10,598440,-372.4,-0.06,12.4,588.8,0.10,-366.2,-0.06,802.8,1.61,4
4,Exit long,2026-07-13 10:59,LongX,29710,10,592325,1862.6,0.31,12.4,1868.8,0.32,-261.2,-0.04,2665.4,5.33,14
4,Entry long,2026-07-13 10:45,leave · 1RB · Rfb · LMT,29616.25,10,592325,1862.6,0.31,12.4,1868.8,0.32,-261.2,-0.04,2665.4,5.33,14
5,Exit short,2026-07-14 12:40,ShortX,29798,10,595715,-257.4,-0.04,12.4,98.8,0.02,-251.2,-0.04,2408,4.82,2
5,Entry short,2026-07-14 12:38,Powell · Cont · 1RB · OTE · Rfb · LMT,29785.75,10,595715,-257.4,-0.04,12.4,98.8,0.02,-251.2,-0.04,2408,4.82,2
6,Exit long,2026-07-16 11:25,LongX,29426.75,10,586935,1587.6,0.27,12.4,1593.8,0.27,-211.2,-0.04,3995.6,7.99,9
6,Entry long,2026-07-16 11:16,Powell · Cont · 1RB · OTE+KO · Rfb · LMT,29346.75,10,586935,1587.6,0.27,12.4,1593.8,0.27,-211.2,-0.04,3995.6,7.99,9
7,Exit short,2026-07-20 10:26,ShortX,29007.5,10,579955,-207.4,-0.04,12.4,333.8,0.06,-201.2,-0.03,3788.2,7.58,1
7,Entry short,2026-07-20 10:25,leave · 1RB · Rfb · LMT,28997.75,10,579955,-207.4,-0.04,12.4,333.8,0.06,-201.2,-0.03,3788.2,7.58,1
8,Exit long,2026-07-23 10:09,LongX,28706,10,574260,-152.4,-0.03,12.4,123.8,0.02,-146.2,-0.03,3635.8,7.27,1
8,Entry long,2026-07-23 10:08,leave · 1RB · Rfb · LMT,28713,10,574260,-152.4,-0.03,12.4,123.8,0.02,-146.2,-0.03,3635.8,7.27,1
9,Exit long,2026-07-23 10:22,LongX,28776.25,10,573925,1587.6,0.28,12.4,1593.8,0.28,-16.2,0.00,5223.4,10.45,2
9,Entry long,2026-07-23 10:20,Powell · Cont · 1RB · OTE · Rfb · LMT,28696.25,10,573925,1587.6,0.28,12.4,1593.8,0.28,-16.2,0.00,5223.4,10.45,2
10,Exit long,2026-07-24 10:19,LongX,28303.25,10,566460,-407.4,-0.07,12.4,0,0.00,-401.2,-0.07,4816,9.63,1
10,Entry long,2026-07-24 10:18,leave · 1RB · Rfb · LMT,28323,10,566460,-407.4,-0.07,12.4,0,0.00,-401.2,-0.07,4816,9.63,1
