Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2026-06-02 10:06,ShortX,30613,10,612080,-192.4,-0.03,12.4,203.8,0.03,-186.2,-0.03,-192.4,-0.38,2
1,Entry short,2026-06-02 10:04,leave · 1RB · Rfb · LMT,30604,10,612080,-192.4,-0.03,12.4,203.8,0.03,-186.2,-0.03,-192.4,-0.38,2
2,Exit long,2026-06-03 12:19,LongX,30566,10,611520,-212.4,-0.03,12.4,0,0.00,-206.2,-0.03,-404.8,-0.81,1
2,Entry long,2026-06-03 12:18,Powell · Cont · 1RB · OTE · Rfb · LMT,30576,10,611520,-212.4,-0.03,12.4,0,0.00,-206.2,-0.03,-404.8,-0.81,1
3,Exit long,2026-06-05 10:06,LongX,29766,10,595475,-167.4,-0.03,12.4,1128.8,0.19,-161.2,-0.03,-572.2,-1.14,4
3,Entry long,2026-06-05 10:02,leave · 1RB · Rfb · LMT,29773.75,10,595475,-167.4,-0.03,12.4,1128.8,0.19,-161.2,-0.03,-572.2,-1.14,4
4,Exit long,2026-06-08 10:09,LongX,29450,10,587000,1987.6,0.34,12.4,1993.8,0.34,-36.2,-0.01,1415.4,2.83,4
4,Entry long,2026-06-08 10:05,leave · 1RB · Rfb · LMT,29350,10,587000,1987.6,0.34,12.4,1993.8,0.34,-36.2,-0.01,1415.4,2.83,4
5,Exit long,2026-06-11 10:36,LongX,28937.75,10,576755,1987.6,0.34,12.4,1993.8,0.35,-781.2,-0.14,3403,6.81,6
5,Entry long,2026-06-11 10:30,Powell · Cont · 1RB · OTE · Rfb · LMT,28837.75,10,576755,1987.6,0.34,12.4,1993.8,0.35,-781.2,-0.14,3403,6.81,6
6,Exit long,2026-06-15 10:22,LongX,30674.5,10,614085,-607.4,-0.10,12.4,673.8,0.11,-601.2,-0.10,2795.6,5.59,6
6,Entry long,2026-06-15 10:16,leave · 1RB · Rfb · LMT,30704.25,10,614085,-607.4,-0.10,12.4,673.8,0.11,-601.2,-0.10,2795.6,5.59,6
7,Exit long,2026-06-16 10:16,LongX,30791,10,616170,-362.4,-0.06,12.4,978.8,0.16,-356.2,-0.06,2433.2,4.87,11
7,Entry long,2026-06-16 10:05,leave · 1RB · Rfb · LMT,30808.5,10,616170,-362.4,-0.06,12.4,978.8,0.16,-356.2,-0.06,2433.2,4.87,11
8,Exit long,2026-06-17 10:02,LongX,30319.75,10,606955,-572.4,-0.09,12.4,0,0.00,-566.2,-0.09,1860.8,3.72,0
8,Entry long,2026-06-17 10:02,leave · 1RB · Rfb · LMT,30347.75,10,606955,-572.4,-0.09,12.4,0,0.00,-566.2,-0.09,1860.8,3.72,0
9,Exit short,2026-06-19 10:52,ShortX,30685.25,10,613570,-147.4,-0.02,12.4,63.8,0.01,-141.2,-0.02,1713.4,3.43,8
9,Entry short,2026-06-19 10:44,leave · 1RB · Rfb · LMT,30678.5,10,613570,-147.4,-0.02,12.4,63.8,0.01,-141.2,-0.02,1713.4,3.43,8
10,Exit short,2026-06-22 10:08,ShortX,30955.5,10,618750,-372.4,-0.06,12.4,588.8,0.10,-366.2,-0.06,1341,2.68,7
10,Entry short,2026-06-22 10:01,leave · 1RB · Rfb · LMT,30937.5,10,618750,-372.4,-0.06,12.4,588.8,0.10,-366.2,-0.06,1341,2.68,7
11,Exit long,2026-06-23 11:17,LongX,29763,10,595565,-317.4,-0.05,12.4,693.8,0.12,-311.2,-0.05,1023.6,2.05,8
11,Entry long,2026-06-23 11:09,Powell · Cont · 1RB · OTE · Rfb · LMT,29778.25,10,595565,-317.4,-0.05,12.4,693.8,0.12,-311.2,-0.05,1023.6,2.05,8
12,Exit short,2026-06-24 10:25,ShortX,29697.5,10,593315,-647.4,-0.11,12.4,523.8,0.09,-641.2,-0.11,376.2,0.75,2
12,Entry short,2026-06-24 10:23,leave · 1RB · Rfb · LMT,29665.75,10,593315,-647.4,-0.11,12.4,523.8,0.09,-641.2,-0.11,376.2,0.75,2
13,Exit short,2026-06-29 10:48,ShortX,29498.5,10,591970,1987.6,0.34,12.4,1993.8,0.34,-531.2,-0.09,2363.8,4.73,8
13,Entry short,2026-06-29 10:40,leave · 1RB · Rfb · LMT,29598.5,10,591970,1987.6,0.34,12.4,1993.8,0.34,-531.2,-0.09,2363.8,4.73,8
14,Exit short,2026-06-29 10:50,ShortX,29635,10,591970,-742.4,-0.13,12.4,0,0.00,-736.2,-0.12,1621.4,3.24,0
14,Entry short,2026-06-29 10:50,Powell · Cont · 1RB · OTE+KO · Rfb · LMT,29598.5,10,591970,-742.4,-0.13,12.4,0,0.00,-736.2,-0.12,1621.4,3.24,0
15,Exit short,2026-06-30 10:03,ShortX,30386.25,10,607240,-497.4,-0.08,12.4,0,0.00,-491.2,-0.08,1124,2.25,0
15,Entry short,2026-06-30 10:03,leave · 1RB · Rfb · LMT,30362,10,607240,-497.4,-0.08,12.4,0,0.00,-491.2,-0.08,1124,2.25,0
