Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-07-28 11:15,Exit,23471,10,4700100,-5912.4,-0.13,12.4,5693.8,0.12,-5906.2,-0.13,-5912.4,-11.82,18
1,Entry long,2025-07-28 09:45,ORB long,23500.5,10,4700100,-5912.4,-0.13,12.4,5693.8,0.12,-5906.2,-0.13,-5912.4,-11.82,18
2,Exit short,2025-07-29 09:55,Exit,23589.75,10,4717950,-12.4,0.00,12.4,6793.8,0.14,-556.2,-0.01,-5924.8,-11.85,2
2,Entry short,2025-07-29 09:45,ORB short,23589.75,10,4717950,-12.4,0.00,12.4,6793.8,0.14,-556.2,-0.01,-5924.8,-11.85,2
3,Exit long,2025-07-30 09:50,Exit,23482.75,10,4697950,-1412.4,-0.03,12.4,693.8,0.01,-1406.2,-0.03,-7337.2,-14.67,1
3,Entry long,2025-07-30 09:45,ORB long,23489.75,10,4697950,-1412.4,-0.03,12.4,693.8,0.01,-1406.2,-0.03,-7337.2,-14.67,1
4,Exit short,2025-07-31 09:50,Exit,23665.75,10,4729100,-4062.4,-0.09,12.4,993.8,0.02,-4056.2,-0.09,-11399.6,-22.80,1
4,Entry short,2025-07-31 09:45,ORB short,23645.5,10,4729100,-4062.4,-0.09,12.4,993.8,0.02,-4056.2,-0.09,-11399.6,-22.80,1
5,Exit long,2025-08-04 10:45,Exit,23213.75,10,4643350,-612.4,-0.01,12.4,9493.8,0.20,-3706.2,-0.08,-12012,-24.02,12
5,Entry long,2025-08-04 09:45,ORB long,23216.75,10,4643350,-612.4,-0.01,12.4,9493.8,0.20,-3706.2,-0.08,-12012,-24.02,12
6,Exit long,2025-08-05 10:00,Exit,23341.75,10,4676250,-7912.4,-0.17,12.4,2243.8,0.05,-7906.2,-0.17,-19924.4,-39.85,3
6,Entry long,2025-08-05 09:45,ORB long,23381.25,10,4676250,-7912.4,-0.17,12.4,2243.8,0.05,-7906.2,-0.17,-19924.4,-39.85,3
7,Exit long,2025-08-06 10:10,Exit,23236,10,4643550,3637.6,0.08,12.4,13443.8,0.29,-8806.2,-0.19,-16286.8,-32.57,5
7,Entry long,2025-08-06 09:45,ORB long,23217.75,10,4643550,3637.6,0.08,12.4,13443.8,0.29,-8806.2,-0.19,-16286.8,-32.57,5
8,Exit short,2025-08-07 09:55,Exit,23648,10,4720100,-9512.4,-0.20,12.4,0,0.00,-9506.2,-0.20,-25799.2,-51.60,2
8,Entry short,2025-08-07 09:45,ORB short,23600.5,10,4720100,-9512.4,-0.20,12.4,0,0.00,-9506.2,-0.20,-25799.2,-51.60,2
9,Exit long,2025-08-08 10:15,Exit,23628,10,4725700,-112.4,0.00,12.4,9993.8,0.21,-3106.2,-0.07,-25911.6,-51.82,6
9,Entry long,2025-08-08 09:45,ORB long,23628.5,10,4725700,-112.4,0.00,12.4,9993.8,0.21,-3106.2,-0.07,-25911.6,-51.82,6
10,Exit long,2025-08-11 10:45,Exit,23739.5,10,4748950,-1062.4,-0.02,12.4,4543.8,0.10,-4456.2,-0.09,-26974,-53.95,10
10,Entry long,2025-08-11 09:55,ORB long,23744.75,10,4748950,-1062.4,-0.02,12.4,4543.8,0.10,-4456.2,-0.09,-26974,-53.95,10
11,Exit short,2025-08-12 10:05,Exit,23709.75,10,4742450,487.6,0.01,12.4,18043.8,0.38,-2556.2,-0.05,-26486.4,-52.97,3
11,Entry short,2025-08-12 09:50,ORB short,23712.25,10,4742450,487.6,0.01,12.4,18043.8,0.38,-2556.2,-0.05,-26486.4,-52.97,3
12,Exit short,2025-08-13 11:10,Exit,23911,10,4803450,21237.6,0.44,12.4,21243.8,0.44,-256.2,-0.01,-5248.8,-10.50,15
12,Entry short,2025-08-13 09:55,ORB short,24017.25,10,4803450,21237.6,0.44,12.4,21243.8,0.44,-256.2,-0.01,-5248.8,-10.50,15
13,Exit long,2025-08-14 09:50,Exit,23919,10,4786250,-2462.4,-0.05,12.4,5793.8,0.12,-2506.2,-0.05,-7711.2,-15.42,1
13,Entry long,2025-08-14 09:45,ORB long,23931.25,10,4786250,-2462.4,-0.05,12.4,5793.8,0.12,-2506.2,-0.05,-7711.2,-15.42,1
14,Exit short,2025-08-15 09:55,Exit,23814.25,10,4756700,-6162.4,-0.13,12.4,2643.8,0.06,-6156.2,-0.13,-13873.6,-27.75,2
14,Entry short,2025-08-15 09:45,ORB short,23783.5,10,4756700,-6162.4,-0.13,12.4,2643.8,0.06,-6156.2,-0.13,-13873.6,-27.75,2
15,Exit short,2025-08-18 10:20,Exit,23809.75,10,4751500,-10462.4,-0.22,12.4,4493.8,0.09,-10456.2,-0.22,-24336,-48.67,6
15,Entry short,2025-08-18 09:50,ORB short,23757.5,10,4751500,-10462.4,-0.22,12.4,4493.8,0.09,-10456.2,-0.22,-24336,-48.67,6
16,Exit short,2025-08-19 12:40,Exit,23505.5,10,4730200,29087.6,0.61,12.4,29093.8,0.62,-15556.2,-0.33,4751.6,9.50,35
16,Entry short,2025-08-19 09:45,ORB short,23651,10,4730200,29087.6,0.61,12.4,29093.8,0.62,-15556.2,-0.33,4751.6,9.50,35
17,Exit short,2025-08-20 09:55,Exit,23165.25,10,4652900,19837.6,0.43,12.4,19843.8,0.43,-156.2,0.00,24589.2,49.18,2
17,Entry short,2025-08-20 09:45,ORB short,23264.5,10,4652900,19837.6,0.43,12.4,19843.8,0.43,-156.2,0.00,24589.2,49.18,2
18,Exit short,2025-08-21 10:05,Exit,23270.25,10,4653400,-662.4,-0.01,12.4,22193.8,0.48,-656.2,-0.01,23926.8,47.85,4
18,Entry short,2025-08-21 09:45,ORB short,23267,10,4653400,-662.4,-0.01,12.4,22193.8,0.48,-656.2,-0.01,23926.8,47.85,4
19,Exit long,2025-08-22 10:00,Exit,23521.5,10,4662400,41887.6,0.90,12.4,41893.8,0.90,-13156.2,-0.28,65814.4,131.63,2
19,Entry long,2025-08-22 09:50,ORB long,23312,10,4662400,41887.6,0.90,12.4,41893.8,0.90,-13156.2,-0.28,65814.4,131.63,2
20,Exit long,2025-08-25 10:20,Exit,23519.25,10,4703850,-12.4,0.00,12.4,8343.8,0.18,-2856.2,-0.06,65802,131.60,5
20,Entry long,2025-08-25 09:55,ORB long,23519.25,10,4703850,-12.4,0.00,12.4,8343.8,0.18,-2856.2,-0.06,65802,131.60,5
21,Exit short,2025-08-26 10:10,Exit,23518.5,10,4688900,-14812.4,-0.32,12.4,1343.8,0.03,-14806.2,-0.32,50989.6,101.98,5
21,Entry short,2025-08-26 09:45,ORB short,23444.5,10,4688900,-14812.4,-0.32,12.4,1343.8,0.03,-14806.2,-0.32,50989.6,101.98,5
22,Exit short,2025-08-27 10:10,Exit,23562.75,10,4699900,-12662.4,-0.27,12.4,93.8,0.00,-12656.2,-0.27,38327.2,76.65,5
22,Entry short,2025-08-27 09:45,ORB short,23499.5,10,4699900,-12662.4,-0.27,12.4,93.8,0.00,-12656.2,-0.27,38327.2,76.65,5
23,Exit long,2025-08-28 11:20,Exit,23700.25,10,4746600,-6562.4,-0.14,12.4,393.8,0.01,-6556.2,-0.14,31764.8,63.53,1
23,Entry long,2025-08-28 11:15,ORB long,23733,10,4746600,-6562.4,-0.14,12.4,393.8,0.01,-6556.2,-0.14,31764.8,63.53,1
24,Exit short,2025-08-29 10:05,Exit,23444,10,4708650,19837.6,0.42,12.4,19843.8,0.42,-6406.2,-0.14,51602.4,103.20,4
24,Entry short,2025-08-29 09:45,ORB short,23543.25,10,4708650,19837.6,0.42,12.4,19843.8,0.42,-6406.2,-0.14,51602.4,103.20,4
25,Exit long,2025-09-01 10:00,Exit,23485.75,10,4697150,-12.4,0.00,12.4,1793.8,0.04,-456.2,-0.01,51590,103.18,3
25,Entry long,2025-09-01 09:45,ORB long,23485.75,10,4697150,-12.4,0.00,12.4,1793.8,0.04,-456.2,-0.01,51590,103.18,3
26,Exit long,2025-09-02 10:40,Exit,23181.75,10,4639700,-3362.4,-0.07,12.4,16293.8,0.35,-3356.2,-0.07,48227.6,96.46,11
26,Entry long,2025-09-02 09:45,ORB long,23198.5,10,4639700,-3362.4,-0.07,12.4,16293.8,0.35,-3356.2,-0.07,48227.6,96.46,11
