date,pnl_usd,trade_num,tier,signal
2023-08-08,-416.88,1,PRB,Long
2023-08-09,-424.80,2,PRB,Long
2023-08-18,-22.62,3,PRB,Long
2023-08-31,-412.08,4,PRB,Short
2023-09-05,-406.12,5,PRB,Short
2023-11-08,-34.80,6,PRB,Long
2023-11-09,-29.58,7,PRB,Short
2023-11-16,1893.90,8,PRB,Short
2023-11-21,-412.08,9,PRB,Long
2023-12-06,-431.00,10,PRB,Long
2023-12-12,-33.06,11,PRB,Short
2023-12-14,-416.36,12,PRB,Long
2023-12-19,-432.06,13,PRB,Short
2024-02-01,-19.14,14,PRB,Long
2024-02-02,-22.62,15,PRB,Short
2024-02-08,-168.60,16,PRB,Short
2024-02-09,-368.88,17,PRB,Short
2024-02-23,-22.62,18,PRB,Long
2024-03-08,-429.08,19,PRB,Long
2024-03-15,-280.06,20,PRB,Long
2024-03-21,-19.14,21,PRB,Long
2024-03-28,-198.12,22,PRB,Short
2024-04-03,-392.40,23,PRB,Short
2024-04-12,-19.14,24,PRB,Long
2024-04-16,1891.42,25,PRB,Short
2024-04-30,1907.64,26,PRB,Short
2024-05-07,-152.62,27,PRB,Long
2024-05-10,-423.60,28,PRB,Long
2024-05-22,-59.84,29,PRB,Short
2024-08-13,-19.14,30,PRB,Short
2024-08-15,-26.10,31,PRB,Short
2024-08-21,1872.64,32,PRB,Long
2024-08-22,-404.88,33,PRB,Long
2024-08-30,-22.62,34,PRB,Long
2024-09-04,-146.88,35,PRB,Short
2024-09-10,-24.36,36,PRB,Long
2024-09-12,-27.84,37,PRB,Short
2024-09-13,-120.54,38,PRB,Short
2024-09-18,-17.40,39,PRB,Long
2024-09-20,-402.40,40,PRB,Long
2024-11-01,-402.40,41,PRB,Short
2024-11-21,-212.88,42,PRB,Short
2024-12-03,-24.36,43,PRB,Short
2024-12-10,-143.52,44,PRB,Long
2024-12-18,-434.80,45,PRB,Short
2024-12-19,1962.60,46,PRB,Long
2024-12-31,-382.40,47,PRB,Long
2025-01-08,1845.12,48,PRB,Long
2025-01-14,-434.28,49,PRB,Long
2025-01-28,-423.60,50,PRB,Short
2025-01-30,-412.62,51,PRB,Long
2025-02-28,-431.02,52,PRB,Short
2025-03-13,-29.58,53,PRB,Long
2025-03-18,-17.40,54,PRB,Long
2025-03-25,-19.14,55,PRB,Short
2025-03-26,-412.08,56,PRB,Long
2025-04-02,-423.28,57,PRB,Short
2025-04-24,-32.88,58,PRB,Short
2025-05-07,-392.88,59,PRB,Long
2025-05-28,-20.88,60,PRB,Long
2025-06-10,-29.58,61,PRB,Long
2025-06-17,-38.08,62,PRB,Short
2025-06-26,-22.62,63,PRB,Short
2025-06-27,-20.88,64,PRB,Long
2025-08-07,1887.60,65,PRB,Short
2025-08-08,-22.62,66,PRB,Short
2025-08-13,-24.36,67,PRB,Long
2025-09-03,-22.62,68,PRB,Short
2025-09-23,-26.10,69,PRB,Long
2025-09-30,1975.20,70,PRB,Short
2025-11-04,1916.40,71,PRB,Short
2025-11-05,-418.32,72,PRB,Short
2025-11-18,1935.12,73,PRB,Long
2025-11-25,-410.88,74,PRB,Short
2025-11-26,-17.40,75,PRB,Long
2025-12-16,1935.12,76,PRB,Short
2026-01-02,1905.12,77,PRB,Long
2026-01-06,-27.84,78,PRB,Short
2026-01-07,-403.84,79,PRB,Short
2026-01-15,-17.40,80,PRB,Long
2026-01-16,-177.40,81,PRB,Long
2026-01-21,-337.40,82,PRB,Short
2026-01-22,-230.62,83,PRB,Short
2026-01-28,-427.32,84,PRB,Long
2026-02-10,1942.64,85,PRB,Short
2026-02-17,-402.36,86,PRB,Long
2026-03-19,-20.88,87,PRB,Short
2026-03-20,-22.62,88,PRB,Long
2026-03-26,-17.40,89,PRB,Long
2026-04-02,-409.36,90,PRB,Short
2026-04-21,-398.64,91,PRB,Short
2026-04-28,-117.40,92,PRB,Long
2026-04-30,-26.10,93,PRB,Short
2026-05-21,1924.16,94,PRB,Short
2026-05-26,-20.88,95,PRB,Short
2026-05-29,1937.60,96,PRB,Short
2026-06-05,1938.86,97,PRB,Long
2026-06-10,-404.14,98,PRB,Short
2026-06-17,-404.88,99,PRB,Long
2026-06-24,-410.88,100,PRB,Short
