Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-07-14 10:05,S-X,15812.5,14,442673,-94.36,-0.02,565.32,0.13,-141.68,-0.03,-94.36,-0.19,0
1,Entry short,2023-07-14 10:05,Short,15809.75,14,442673,-94.36,-0.02,565.32,0.13,-141.68,-0.03,-94.36,-0.19,0
2,Exit short,2023-07-19 11:10,S-X,16041.75,17,545164.5,-276.08,-0.05,0,0.00,-282.54,-0.05,-370.44,-0.74,0
2,Entry short,2023-07-19 11:10,Short,16034.25,17,545164.5,-276.08,-0.05,0,0.00,-282.54,-0.05,-370.44,-0.74,0
3,Exit long,2023-07-20 10:15,L-X,15789.75,11,347765,-404.14,-0.12,0,0.00,-397.32,-0.11,-774.58,-1.55,0
3,Entry long,2023-07-20 10:15,Long,15807.5,11,347765,-404.14,-0.12,0,0.00,-397.32,-0.11,-774.58,-1.55,0
4,Exit short,2023-07-25 11:35,S-X,15663.25,15,469890,-26.1,-0.01,155.7,0.03,-16.8,0.00,-800.68,-1.60,1
4,Entry short,2023-07-25 11:30,Short,15663,15,469890,-26.1,-0.01,155.7,0.03,-16.8,0.00,-800.68,-1.60,1
5,Exit long,2023-08-08 10:10,L-X,15262.75,12,366708,-416.88,-0.11,0,0.00,-409.44,-0.11,-1217.56,-2.44,0
5,Entry long,2023-08-08 10:10,Long,15279.5,12,366708,-416.88,-0.11,0,0.00,-409.44,-0.11,-1217.56,-2.44,0
6,Exit long,2023-08-09 11:10,L-X,15196.5,20,608260,-424.8,-0.07,0,0.00,-412.4,-0.07,-1642.36,-3.28,0
6,Entry long,2023-08-09 11:10,Long,15206.5,20,608260,-424.8,-0.07,0,0.00,-412.4,-0.07,-1642.36,-3.28,0
7,Exit long,2023-08-18 10:15,L-X,14627.75,13,380328,-22.62,-0.01,732.94,0.19,-157.56,-0.04,-1664.98,-3.33,2
7,Entry long,2023-08-18 10:05,Long,14628,13,380328,-22.62,-0.01,732.94,0.19,-157.56,-0.04,-1664.98,-3.33,2
8,Exit short,2023-08-31 10:10,S-X,15578.25,17,529269.5,-412.08,-0.08,0,0.00,-401.54,-0.08,-2077.06,-4.15,0
8,Entry short,2023-08-31 10:10,Short,15566.75,17,529269.5,-412.08,-0.08,0,0.00,-401.54,-0.08,-2077.06,-4.15,0
