Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-07-16 11:15,L-X,22946,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
1,Entry long,2025-07-16 11:15,Long,22959.5,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
2,Exit long,2025-07-23 10:10,L-X,23147.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
2,Entry long,2025-07-23 10:10,Long,23159.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
3,Exit short,2025-07-25 10:05,S-X,23402,16,748800,-83.84,-0.01,518.08,0.07,-137.92,-0.02,-908.28,-1.82,0
3,Entry short,2025-07-25 10:05,Short,23400,16,748800,-83.84,-0.01,518.08,0.07,-137.92,-0.02,-908.28,-1.82,0
4,Exit short,2025-08-07 10:20,S-X,23559.25,10,473085,1887.6,0.40,1893.8,0.40,-36.2,-0.01,979.32,1.96,3
4,Entry short,2025-08-07 10:05,Short,23654.25,10,473085,1887.6,0.40,1893.8,0.40,-36.2,-0.01,979.32,1.96,3
5,Exit short,2025-08-08 10:25,S-X,23666.5,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,956.7,1.91,1
5,Entry short,2025-08-08 10:20,Short,23666.25,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,956.7,1.91,1
6,Exit long,2025-08-13 10:45,L-X,23953.75,14,670712,-24.36,0.00,530.32,0.08,-225.68,-0.03,932.34,1.86,1
6,Entry long,2025-08-13 10:40,Long,23954,14,670712,-24.36,0.00,530.32,0.08,-225.68,-0.03,932.34,1.86,1
7,Exit short,2025-09-03 10:20,S-X,23449,13,609667.5,-22.62,0.00,1714.44,0.28,-86.06,-0.01,909.72,1.82,2
7,Entry short,2025-09-03 10:10,Short,23448.75,13,609667.5,-22.62,0.00,1714.44,0.28,-86.06,-0.01,909.72,1.82,2
8,Exit long,2025-09-23 10:20,L-X,24940.25,15,748215,-26.1,0.00,673.2,0.09,-129.3,-0.02,883.62,1.77,2
8,Entry long,2025-09-23 10:10,Long,24940.5,15,748215,-26.1,0.00,673.2,0.09,-129.3,-0.02,883.62,1.77,2
9,Exit short,2025-09-30 11:15,S-X,24806,20,994240,1975.2,0.20,1987.6,0.20,-52.4,-0.01,2858.82,5.72,1
9,Entry short,2025-09-30 11:10,Short,24856,20,994240,1975.2,0.20,1987.6,0.20,-52.4,-0.01,2858.82,5.72,1
10,Exit short,2025-11-04 10:50,S-X,25818.5,15,776490,1916.4,0.25,1925.7,0.25,-226.8,-0.03,4775.22,9.55,2
10,Entry short,2025-11-04 10:40,Short,25883,15,776490,1916.4,0.25,1925.7,0.25,-226.8,-0.03,4775.22,9.55,2
11,Exit short,2025-11-05 10:05,S-X,25697.25,18,924705,-418.32,-0.05,51.84,0.01,-407.16,-0.04,4356.9,8.71,0
11,Entry short,2025-11-05 10:05,Short,25686.25,18,924705,-418.32,-0.05,51.84,0.01,-407.16,-0.04,4356.9,8.71,0
12,Exit long,2025-11-18 10:20,L-X,24525.5,12,586662,1935.12,0.33,1942.56,0.33,-199.44,-0.03,6292.02,12.58,1
12,Entry long,2025-11-18 10:15,Long,24444.25,12,586662,1935.12,0.33,1942.56,0.33,-199.44,-0.03,6292.02,12.58,1
13,Exit short,2025-11-25 11:20,S-X,24875.75,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,5881.14,11.76,0
13,Entry short,2025-11-25 11:20,Short,24859.25,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,5881.14,11.76,0
14,Exit long,2025-11-26 10:20,L-X,25150.75,10,503020,-17.4,0.00,1448.8,0.29,-26.2,-0.01,5863.74,11.73,3
14,Entry long,2025-11-26 10:05,Long,25151,10,503020,-17.4,0.00,1448.8,0.29,-26.2,-0.01,5863.74,11.73,3
15,Exit short,2025-12-16 10:10,S-X,25313,12,609462,1935.12,0.32,1942.56,0.32,-253.44,-0.04,7798.86,15.60,1
