Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-07-16 11:15,L-X,22946,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
1,Entry long,2025-07-16 11:15,Long,22959.5,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
2,Exit long,2025-07-23 10:10,L-X,23147.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
2,Entry long,2025-07-23 10:10,Long,23159.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
3,Exit short,2025-07-25 10:10,S-X,23412.5,16,748800,-419.84,-0.06,518.08,0.07,-409.92,-0.05,-1244.28,-2.49,1
3,Entry short,2025-07-25 10:05,Short,23400,16,748800,-419.84,-0.06,518.08,0.07,-409.92,-0.05,-1244.28,-2.49,1
4,Exit short,2025-08-07 10:10,S-X,23583.25,10,473085,1407.6,0.30,1413.8,0.30,-36.2,-0.01,163.32,0.33,1
4,Entry short,2025-08-07 10:05,Short,23654.25,10,473085,1407.6,0.30,1413.8,0.30,-36.2,-0.01,163.32,0.33,1
5,Exit short,2025-08-08 10:25,S-X,23681,13,615322.5,-399.62,-0.06,310.44,0.05,-391.56,-0.06,-236.3,-0.47,1
5,Entry short,2025-08-08 10:20,Short,23666.25,13,615322.5,-399.62,-0.06,310.44,0.05,-391.56,-0.06,-236.3,-0.47,1
6,Exit short,2025-09-03 10:10,S-X,23395,13,609667.5,1381.38,0.23,1389.44,0.23,-86.06,-0.01,1145.08,2.29,0
6,Entry short,2025-09-03 10:10,Short,23448.75,13,609667.5,1381.38,0.23,1389.44,0.23,-86.06,-0.01,1145.08,2.29,0
7,Exit long,2025-09-23 10:45,L-X,24940.25,15,748215,-26.1,0.00,1025.7,0.14,-249.3,-0.03,1118.98,2.24,7
7,Entry long,2025-09-23 10:10,Long,24940.5,15,748215,-26.1,0.00,1025.7,0.14,-249.3,-0.03,1118.98,2.24,7
8,Exit long,2025-11-18 10:20,L-X,24505,12,586662,1443.12,0.25,1450.56,0.25,-199.44,-0.03,2562.1,5.12,1
8,Entry long,2025-11-18 10:15,Long,24444.25,12,586662,1443.12,0.25,1450.56,0.25,-199.44,-0.03,2562.1,5.12,1
9,Exit short,2025-11-25 11:20,S-X,24875.75,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,2151.22,4.30,0
9,Entry short,2025-11-25 11:20,Short,24859.25,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,2151.22,4.30,0
10,Exit short,2025-12-16 10:05,S-X,25333.5,12,609462,1443.12,0.24,1450.56,0.24,-253.44,-0.04,3594.34,7.19,0
10,Entry short,2025-12-16 10:05,Short,25394.25,12,609462,1443.12,0.24,1450.56,0.24,-253.44,-0.04,3594.34,7.19,0
11,Exit short,2026-01-06 10:15,S-X,25763.5,16,824424,-27.84,0.00,1174.08,0.14,-129.92,-0.02,3566.5,7.13,2
11,Entry short,2026-01-06 10:05,Short,25763.25,16,824424,-27.84,0.00,1174.08,0.14,-129.92,-0.02,3566.5,7.13,2
12,Exit short,2026-01-07 10:45,S-X,25904.25,16,828552,-403.84,-0.05,30.08,0.00,-393.92,-0.05,3162.66,6.33,0
12,Entry short,2026-01-07 10:45,Short,25892.25,16,828552,-403.84,-0.05,30.08,0.00,-393.92,-0.05,3162.66,6.33,0
13,Exit long,2026-01-16 10:15,L-X,25708.75,10,514580,-417.4,-0.08,338.8,0.07,-411.2,-0.08,2745.26,5.49,1
13,Entry long,2026-01-16 10:10,Long,25729,10,514580,-417.4,-0.08,338.8,0.07,-411.2,-0.08,2745.26,5.49,1
14,Exit short,2026-01-22 11:15,S-X,25661,13,666789.5,-412.62,-0.06,108.94,0.02,-404.56,-0.06,2332.64,4.67,1
14,Entry short,2026-01-22 11:10,Short,25645.75,13,666789.5,-412.62,-0.06,108.94,0.02,-404.56,-0.06,2332.64,4.67,1
