Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2025-07-16 11:15,L-X,22946,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
1,Entry long,2025-07-16 11:15,Long,22959.5,14,642866,-395.36,-0.06,1013.32,0.16,-386.68,-0.06,-395.36,-0.79,0
2,Exit long,2025-07-23 10:10,L-X,23147.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
2,Entry long,2025-07-23 10:10,Long,23159.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-824.44,-1.65,0
3,Exit short,2025-07-25 10:05,S-X,23402,16,748800,-83.84,-0.01,518.08,0.07,-137.92,-0.02,-908.28,-1.82,0
3,Entry short,2025-07-25 10:05,Short,23400,16,748800,-83.84,-0.01,518.08,0.07,-137.92,-0.02,-908.28,-1.82,0
4,Exit short,2025-08-07 10:30,S-X,23540.25,10,473085,2267.6,0.48,2273.8,0.48,-36.2,-0.01,1359.32,2.72,5
4,Entry short,2025-08-07 10:05,Short,23654.25,10,473085,2267.6,0.48,2273.8,0.48,-36.2,-0.01,1359.32,2.72,5
5,Exit short,2025-08-08 10:25,S-X,23666.5,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,1336.7,2.67,1
5,Entry short,2025-08-08 10:20,Short,23666.25,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,1336.7,2.67,1
6,Exit long,2025-08-13 10:45,L-X,23953.75,14,670712,-24.36,0.00,530.32,0.08,-225.68,-0.03,1312.34,2.62,1
6,Entry long,2025-08-13 10:40,Long,23954,14,670712,-24.36,0.00,530.32,0.08,-225.68,-0.03,1312.34,2.62,1
7,Exit short,2025-09-03 10:20,S-X,23449,13,609667.5,-22.62,0.00,1714.44,0.28,-86.06,-0.01,1289.72,2.58,2
7,Entry short,2025-09-03 10:10,Short,23448.75,13,609667.5,-22.62,0.00,1714.44,0.28,-86.06,-0.01,1289.72,2.58,2
8,Exit long,2025-09-23 10:20,L-X,24940.25,15,748215,-26.1,0.00,673.2,0.09,-129.3,-0.02,1263.62,2.53,2
8,Entry long,2025-09-23 10:10,Long,24940.5,15,748215,-26.1,0.00,673.2,0.09,-129.3,-0.02,1263.62,2.53,2
9,Exit short,2025-09-30 11:20,S-X,24796,20,994240,2375.2,0.24,2387.6,0.24,-52.4,-0.01,3638.82,7.28,2
9,Entry short,2025-09-30 11:10,Short,24856,20,994240,2375.2,0.24,2387.6,0.24,-52.4,-0.01,3638.82,7.28,2
10,Exit short,2025-11-04 10:50,S-X,25805.75,15,776490,2298.9,0.30,2308.2,0.30,-226.8,-0.03,5937.72,11.88,2
10,Entry short,2025-11-04 10:40,Short,25883,15,776490,2298.9,0.30,2308.2,0.30,-226.8,-0.03,5937.72,11.88,2
11,Exit short,2025-11-05 10:05,S-X,25697.25,18,924705,-418.32,-0.05,51.84,0.01,-407.16,-0.04,5519.4,11.04,0
11,Entry short,2025-11-05 10:05,Short,25686.25,18,924705,-418.32,-0.05,51.84,0.01,-407.16,-0.04,5519.4,11.04,0
12,Exit long,2025-11-18 10:20,L-X,24541.75,12,586662,2325.12,0.40,2332.56,0.40,-199.44,-0.03,7844.52,15.69,1
12,Entry long,2025-11-18 10:15,Long,24444.25,12,586662,2325.12,0.40,2332.56,0.40,-199.44,-0.03,7844.52,15.69,1
13,Exit short,2025-11-25 11:20,S-X,24875.75,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,7433.64,14.87,0
13,Entry short,2025-11-25 11:20,Short,24859.25,12,596622,-410.88,-0.07,28.56,0.00,-403.44,-0.07,7433.64,14.87,0
14,Exit long,2025-11-26 10:20,L-X,25150.75,10,503020,-17.4,0.00,1448.8,0.29,-26.2,-0.01,7416.24,14.83,3
14,Entry long,2025-11-26 10:05,Long,25151,10,503020,-17.4,0.00,1448.8,0.29,-26.2,-0.01,7416.24,14.83,3
