Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-14 10:15,I_LX,15842.25,3,94875,174.78,0.18,176.64,0.19,-3.36,0.00,174.78,0.35,2
1,Entry long,2023-07-14 10:05,I_L,15812.5,3,94875,174.78,0.18,176.64,0.19,-3.36,0.00,174.78,0.35,2
2,Exit long,2023-07-17 10:10,I_LX,15738.5,4,126060,-156.96,-0.12,0,0.00,-154.48,-0.12,17.82,0.04,1
2,Entry long,2023-07-17 10:05,I_L,15757.5,4,126060,-156.96,-0.12,0,0.00,-154.48,-0.12,17.82,0.04,1
3,Exit short,2023-07-19 10:25,I_SX,16009.25,4,127936,-142.96,-0.11,163.52,0.13,-140.48,-0.11,-125.14,-0.25,4
3,Entry short,2023-07-19 10:05,I_S,15992,4,127936,-142.96,-0.11,163.52,0.13,-140.48,-0.11,-125.14,-0.25,4
4,Exit short,2023-07-27 10:25,I_SX,15814.25,3,95059.5,170.28,0.18,172.14,0.18,-64.86,-0.07,45.14,0.09,4
4,Entry short,2023-07-27 10:05,I_S,15843.25,3,95059.5,170.28,0.18,172.14,0.18,-64.86,-0.07,45.14,0.09,4
5,Exit short,2023-08-09 10:10,I_SX,15298.75,3,91671,-125.22,-0.14,5.64,0.01,-123.36,-0.13,-80.08,-0.16,1
5,Entry short,2023-08-09 10:05,I_S,15278.5,3,91671,-125.22,-0.14,5.64,0.01,-123.36,-0.13,-80.08,-0.16,1
6,Exit long,2023-08-21 10:10,I_LX,14903.5,4,119372,-148.96,-0.12,13.52,0.01,-146.48,-0.12,-229.04,-0.46,1
6,Entry long,2023-08-21 10:05,I_L,14921.5,4,119372,-148.96,-0.12,13.52,0.01,-146.48,-0.12,-229.04,-0.46,1
7,Exit short,2023-08-22 10:10,I_SX,15030.5,4,120096,-152.96,-0.13,13.52,0.01,-150.48,-0.13,-382,-0.76,1
7,Entry short,2023-08-22 10:05,I_S,15012,4,120096,-152.96,-0.13,13.52,0.01,-150.48,-0.13,-382,-0.76,1
8,Exit short,2023-09-04 10:10,I_SX,15553.75,10,311280,192.6,0.06,198.8,0.06,-26.2,-0.01,-189.4,-0.38,1
8,Entry short,2023-09-04 10:05,I_S,15564,10,311280,192.6,0.06,198.8,0.06,-26.2,-0.01,-189.4,-0.38,1
