Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-07-17 13:55,R_SX,15820.25,9,284656.5,-119.16,-0.04,43.92,0.02,-113.58,-0.04,-119.16,-0.24,1
1,Entry short,2023-07-17 13:50,R_S,15814.25,9,284656.5,-119.16,-0.04,43.92,0.02,-113.58,-0.04,-119.16,-0.24,1
2,Exit long,2023-07-19 10:20,R_LX,16006.25,2,63956,66.52,0.10,67.76,0.11,-11.24,-0.02,-52.64,-0.11,1
2,Entry long,2023-07-19 10:15,R_L,15989,2,63956,66.52,0.10,67.76,0.11,-11.24,-0.02,-52.64,-0.11,1
3,Exit short,2023-07-19 10:50,R_SX,16042.75,2,64099,-74.48,-0.12,0,0.00,-73.24,-0.11,-127.12,-0.25,1
3,Entry short,2023-07-19 10:45,R_S,16024.75,2,64099,-74.48,-0.12,0,0.00,-73.24,-0.11,-127.12,-0.25,1
4,Exit short,2023-07-19 11:20,R_SX,16028,4,128306,77.04,0.06,79.52,0.06,-12.48,-0.01,-50.08,-0.10,1
4,Entry short,2023-07-19 11:15,R_S,16038.25,4,128306,77.04,0.06,79.52,0.06,-12.48,-0.01,-50.08,-0.10,1
5,Exit long,2023-07-20 13:15,R_LX,15684.25,2,62827,-92.48,-0.15,30.76,0.05,-91.24,-0.15,-142.56,-0.29,7
5,Entry long,2023-07-20 12:40,R_L,15706.75,2,62827,-92.48,-0.15,30.76,0.05,-91.24,-0.15,-142.56,-0.29,7
6,Exit long,2023-07-21 13:00,R_LX,15588.5,2,62288,63.52,0.10,64.76,0.10,-19.24,-0.03,-79.04,-0.16,3
6,Entry long,2023-07-21 12:45,R_L,15572,2,62288,63.52,0.10,64.76,0.10,-19.24,-0.03,-79.04,-0.16,3
7,Exit short,2023-07-21 13:50,R_SX,15647,2,62500,-90.48,-0.14,13.76,0.02,-89.24,-0.14,-169.52,-0.34,2
7,Entry short,2023-07-21 13:40,R_S,15625,2,62500,-90.48,-0.14,13.76,0.02,-89.24,-0.14,-169.52,-0.34,2
8,Exit short,2023-07-24 14:20,R_SX,15578.25,5,155877.5,88.8,0.06,91.9,0.06,-33.1,-0.02,-80.72,-0.16,3
8,Entry short,2023-07-24 14:05,R_S,15587.75,5,155877.5,88.8,0.06,91.9,0.06,-33.1,-0.02,-80.72,-0.16,3
9,Exit short,2023-07-25 11:50,R_SX,15670.75,6,188136,79.56,0.04,83.28,0.04,-24.72,-0.01,-1.16,0.00,1
9,Entry short,2023-07-25 11:45,R_S,15678,6,188136,79.56,0.04,83.28,0.04,-24.72,-0.01,-1.16,0.00,1
10,Exit short,2023-07-25 13:15,R_SX,15704.25,3,94132.5,-96.72,-0.10,7.14,0.01,-94.86,-0.10,-97.88,-0.20,2
10,Entry short,2023-07-25 13:05,R_S,15688.75,3,94132.5,-96.72,-0.10,7.14,0.01,-94.86,-0.10,-97.88,-0.20,2
11,Exit short,2023-07-26 14:25,R_SX,15559.25,2,62335,95.52,0.15,96.76,0.16,-34.24,-0.05,-2.36,0.00,2
11,Entry short,2023-07-26 14:15,R_S,15583.75,2,62335,95.52,0.15,96.76,0.16,-34.24,-0.05,-2.36,0.00,2
12,Exit long,2023-07-28 13:20,R_LX,15830.25,2,63409,-90.48,-0.14,2.76,0.00,-89.24,-0.14,-92.84,-0.19,2
12,Entry long,2023-07-28 13:10,R_L,15852.25,2,63409,-90.48,-0.14,2.76,0.00,-89.24,-0.14,-92.84,-0.19,2
13,Exit long,2023-07-31 12:30,R_LX,15862.25,2,63380,66.52,0.10,67.76,0.11,-58.24,-0.09,-26.32,-0.05,7
13,Entry long,2023-07-31 11:55,R_L,15845,2,63380,66.52,0.10,67.76,0.11,-58.24,-0.09,-26.32,-0.05,7
14,Exit short,2023-08-01 13:10,R_SX,15823.5,4,126668,75.04,0.06,77.52,0.06,-4.48,0.00,48.72,0.10,1
14,Entry short,2023-08-01 13:05,R_S,15833.5,4,126668,75.04,0.06,77.52,0.06,-4.48,0.00,48.72,0.10,1
15,Exit short,2023-08-02 14:40,R_SX,15474.5,2,61974,73.52,0.12,74.76,0.12,-44.24,-0.07,122.24,0.24,4
15,Entry short,2023-08-02 14:20,R_S,15493.5,2,61974,73.52,0.12,74.76,0.12,-44.24,-0.07,122.24,0.24,4
16,Exit short,2023-08-03 11:30,R_SX,15455.75,4,123738,87.04,0.07,89.52,0.07,-50.48,-0.04,209.28,0.42,2
16,Entry short,2023-08-03 11:20,R_S,15467.25,4,123738,87.04,0.07,89.52,0.07,-50.48,-0.04,209.28,0.42,2
17,Exit short,2023-08-03 13:05,R_SX,15491.75,3,93045,90.78,0.10,92.64,0.10,-51.36,-0.06,300.06,0.60,3
17,Entry short,2023-08-03 12:50,R_S,15507.5,3,93045,90.78,0.10,92.64,0.10,-51.36,-0.06,300.06,0.60,3
18,Exit long,2023-08-03 14:10,R_LX,15442,2,61837,-71.48,-0.12,1.76,0.00,-70.24,-0.11,228.58,0.46,2
18,Entry long,2023-08-03 14:00,R_L,15459.25,2,61837,-71.48,-0.12,1.76,0.00,-70.24,-0.11,228.58,0.46,2
19,Exit short,2023-08-04 13:00,R_SX,15586.75,4,124786,87.04,0.07,89.52,0.07,-60.48,-0.05,315.62,0.63,3
19,Entry short,2023-08-04 12:45,R_S,15598.25,4,124786,87.04,0.07,89.52,0.07,-60.48,-0.05,315.62,0.63,3
