Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-14 10:20,T-LX,15857,1,31608.5,104.26,0.33,104.88,0.33,-30.62,-0.10,104.26,0.21,4
1,Entry long,2023-07-14 10:00,T-Long,15804.25,1,31608.5,104.26,0.33,104.88,0.33,-30.62,-0.10,104.26,0.21,4
2,Exit long,2023-07-17 10:40,T-LX,15742.25,5,157527.5,-111.2,-0.07,9.4,0.01,-108.1,-0.07,-6.94,-0.01,1
2,Entry long,2023-07-17 10:35,T-Long,15752.75,5,157527.5,-111.2,-0.07,9.4,0.01,-108.1,-0.07,-6.94,-0.01,1
3,Exit short,2023-07-18 11:10,C-SX,15809.25,4,126384,-94.96,-0.08,49.52,0.04,-92.48,-0.07,-101.9,-0.20,1
3,Entry short,2023-07-18 11:05,C-Short,15798,4,126384,-94.96,-0.08,49.52,0.04,-92.48,-0.07,-101.9,-0.20,1
4,Exit long,2023-07-19 10:20,C-LX,16000.5,1,31978,21.76,0.07,22.38,0.07,-5.62,-0.02,-80.14,-0.16,1
4,Entry long,2023-07-19 10:15,C-Long,15989,1,31978,21.76,0.07,22.38,0.07,-5.62,-0.02,-80.14,-0.16,1
5,Exit long,2023-07-20 10:20,C-LX,15779.75,1,31621.5,-63.24,-0.20,19.88,0.06,-62.62,-0.20,-143.38,-0.29,2
5,Entry long,2023-07-20 10:10,C-Long,15810.75,1,31621.5,-63.24,-0.20,19.88,0.06,-62.62,-0.20,-143.38,-0.29,2
6,Exit short,2023-07-21 13:25,T-SX,15620.5,5,156100,-111.2,-0.07,59.4,0.04,-108.1,-0.07,-254.58,-0.51,2
6,Entry short,2023-07-21 13:15,T-Short,15610,5,156100,-111.2,-0.07,59.4,0.04,-108.1,-0.07,-254.58,-0.51,2
7,Exit long,2023-07-25 10:20,T-LX,15650.25,6,187665,130.56,0.07,134.28,0.07,-24.72,-0.01,-124.02,-0.25,1
7,Entry long,2023-07-25 10:15,T-Long,15638.75,6,187665,130.56,0.07,134.28,0.07,-24.72,-0.01,-124.02,-0.25,1
8,Exit short,2023-07-26 10:10,C-SX,15602,2,62494,83.52,0.13,84.76,0.14,-25.24,-0.04,-40.5,-0.08,2
8,Entry short,2023-07-26 10:00,C-Short,15623.5,2,62494,83.52,0.13,84.76,0.14,-25.24,-0.04,-40.5,-0.08,2
9,Exit long,2023-07-27 10:05,T-LX,15860.25,4,126970,-92.96,-0.07,9.52,0.01,-90.48,-0.07,-133.46,-0.27,1
9,Entry long,2023-07-27 10:00,T-Long,15871.25,4,126970,-92.96,-0.07,9.52,0.01,-90.48,-0.07,-133.46,-0.27,1
10,Exit long,2023-07-28 13:30,T-LX,15822,3,95034,-105.72,-0.11,23.64,0.02,-103.86,-0.11,-239.18,-0.48,2
10,Entry long,2023-07-28 13:20,T-Long,15839,3,95034,-105.72,-0.11,23.64,0.02,-103.86,-0.11,-239.18,-0.48,2
