Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-19 09:40,C_LX,16037.5,5,160185,183.8,0.11,186.9,0.12,-68.1,-0.04,183.8,0.37,1
1,Entry long,2023-07-19 09:35,C_L,16018.5,5,160185,183.8,0.11,186.9,0.12,-68.1,-0.04,183.8,0.37,1
2,Exit short,2023-07-20 09:40,C_SX,15884,4,126942,-134.96,-0.11,111.52,0.09,-132.48,-0.10,48.84,0.10,1
2,Entry short,2023-07-20 09:35,C_S,15867.75,4,126942,-134.96,-0.11,111.52,0.09,-132.48,-0.10,48.84,0.10,1
3,Exit short,2023-07-21 09:40,C_SX,15677.25,4,125272,-150.96,-0.12,59.52,0.05,-148.48,-0.12,-102.12,-0.20,1
3,Entry short,2023-07-21 09:35,C_S,15659,4,125272,-150.96,-0.12,59.52,0.05,-148.48,-0.12,-102.12,-0.20,1
4,Exit short,2023-07-24 09:40,C_SX,15605.5,5,155912.5,-148.7,-0.10,46.9,0.03,-145.6,-0.09,-250.82,-0.50,1
4,Entry short,2023-07-24 09:35,C_S,15591.25,5,155912.5,-148.7,-0.10,46.9,0.03,-145.6,-0.09,-250.82,-0.50,1
5,Exit long,2023-07-25 09:45,C_LX,15626.5,6,187311,199.56,0.11,203.28,0.11,-12.72,-0.01,-51.26,-0.10,2
5,Entry long,2023-07-25 09:35,C_L,15609.25,6,187311,199.56,0.11,203.28,0.11,-12.72,-0.01,-51.26,-0.10,2
6,Exit long,2023-07-26 09:40,C_LX,15609.5,4,124696,175.04,0.14,177.52,0.14,-64.48,-0.05,123.78,0.25,1
6,Entry long,2023-07-26 09:35,C_L,15587,4,124696,175.04,0.14,177.52,0.14,-64.48,-0.05,123.78,0.25,1
