Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-07-19 09:40,G_SX,16031.25,5,160180,-138.7,-0.09,56.9,0.04,-135.6,-0.08,-138.7,-0.28,1
1,Entry short,2023-07-19 09:35,G_S,16018,5,160180,-138.7,-0.09,56.9,0.04,-135.6,-0.08,-138.7,-0.28,1
2,Exit long,2023-07-20 09:40,G_LX,15891.5,4,126946,181.04,0.14,183.52,0.14,-120.48,-0.09,42.34,0.08,1
2,Entry long,2023-07-20 09:35,G_L,15868.25,4,126946,181.04,0.14,183.52,0.14,-120.48,-0.09,42.34,0.08,1
3,Exit long,2023-07-21 09:45,G_LX,15685.75,4,125276,205.04,0.16,207.52,0.17,-68.48,-0.05,247.38,0.49,2
3,Entry long,2023-07-21 09:35,G_L,15659.5,4,125276,205.04,0.16,207.52,0.17,-68.48,-0.05,247.38,0.49,2
4,Exit long,2023-07-24 09:45,G_LX,15612,5,155917.5,196.3,0.13,199.4,0.13,-58.1,-0.04,443.68,0.89,2
4,Entry long,2023-07-24 09:35,G_L,15591.75,5,155917.5,196.3,0.13,199.4,0.13,-58.1,-0.04,443.68,0.89,2
5,Exit short,2023-07-25 09:40,G_SX,15621,6,187305,-154.44,-0.08,0,0.00,-150.72,-0.08,289.24,0.58,1
5,Entry short,2023-07-25 09:35,G_S,15608.75,6,187305,-154.44,-0.08,0,0.00,-150.72,-0.08,289.24,0.58,1
6,Exit short,2023-07-26 09:40,G_SX,15602.25,4,124692,-130.96,-0.11,55.52,0.04,-128.48,-0.10,158.28,0.32,1
6,Entry short,2023-07-26 09:35,G_S,15586.5,4,124692,-130.96,-0.11,55.52,0.04,-128.48,-0.10,158.28,0.32,1
7,Exit short,2023-07-27 09:40,G_SX,15890.25,5,158747.5,-161.2,-0.10,16.9,0.01,-158.1,-0.10,-2.92,-0.01,1
7,Entry short,2023-07-27 09:35,G_S,15874.75,5,158747.5,-161.2,-0.10,16.9,0.01,-158.1,-0.10,-2.92,-0.01,1
8,Exit short,2023-07-28 09:40,G_SX,15783.5,3,94582.5,-122.22,-0.13,41.64,0.04,-120.36,-0.13,-125.14,-0.25,1
8,Entry short,2023-07-28 09:35,G_S,15763.75,3,94582.5,-122.22,-0.13,41.64,0.04,-120.36,-0.13,-125.14,-0.25,1
9,Exit short,2023-07-31 09:40,G_SX,15890.25,5,158757.5,-151.2,-0.10,101.9,0.06,-148.1,-0.09,-276.34,-0.55,1
9,Entry short,2023-07-31 09:35,G_S,15875.75,5,158757.5,-151.2,-0.10,101.9,0.06,-148.1,-0.09,-276.34,-0.55,1
10,Exit long,2023-08-01 09:50,G_LX,15776.5,5,157910,-151.2,-0.10,176.9,0.11,-148.1,-0.09,-427.54,-0.86,3
10,Entry long,2023-08-01 09:35,G_L,15791,5,157910,-151.2,-0.10,176.9,0.11,-148.1,-0.09,-427.54,-0.86,3
11,Exit long,2023-08-02 09:50,G_LX,15594.5,4,124910,-158.96,-0.13,141.52,0.11,-156.48,-0.13,-586.5,-1.17,3
11,Entry long,2023-08-02 09:35,G_L,15613.75,4,124910,-158.96,-0.13,141.52,0.11,-156.48,-0.13,-586.5,-1.17,3
12,Exit long,2023-08-07 09:40,G_LX,15404.25,4,123364,-134.96,-0.11,73.52,0.06,-132.48,-0.11,-721.46,-1.44,1
12,Entry long,2023-08-07 09:35,G_L,15420.5,4,123364,-134.96,-0.11,73.52,0.06,-132.48,-0.11,-721.46,-1.44,1
13,Exit short,2023-08-08 09:40,G_SX,15343,4,122926,177.04,0.14,179.52,0.15,-30.48,-0.02,-544.42,-1.09,1
13,Entry short,2023-08-08 09:35,G_S,15365.75,4,122926,177.04,0.14,179.52,0.15,-30.48,-0.02,-544.42,-1.09,1
14,Exit long,2023-08-09 09:40,G_LX,15295,4,122486,-130.96,-0.11,101.52,0.08,-128.48,-0.10,-675.38,-1.35,1
14,Entry long,2023-08-09 09:35,G_L,15310.75,4,122486,-130.96,-0.11,101.52,0.08,-128.48,-0.10,-675.38,-1.35,1
15,Exit long,2023-08-14 09:40,G_LX,15107.75,4,120642,215.04,0.18,217.52,0.18,-12.48,-0.01,-460.34,-0.92,1
15,Entry long,2023-08-14 09:35,G_L,15080.25,4,120642,215.04,0.18,217.52,0.18,-12.48,-0.01,-460.34,-0.92,1
16,Exit short,2023-08-15 09:40,G_SX,15229.75,4,122058,215.04,0.18,217.52,0.18,-14.48,-0.01,-245.3,-0.49,1
16,Entry short,2023-08-15 09:35,G_S,15257.25,4,122058,215.04,0.18,217.52,0.18,-14.48,-0.01,-245.3,-0.49,1
17,Exit long,2023-08-16 09:45,G_LX,15121.5,4,120772,195.04,0.16,197.52,0.16,-112.48,-0.09,-50.26,-0.10,2
17,Entry long,2023-08-16 09:35,G_L,15096.5,4,120772,195.04,0.16,197.52,0.16,-112.48,-0.09,-50.26,-0.10,2
18,Exit long,2023-08-17 09:40,G_LX,14944,5,149580,-146.2,-0.10,169.4,0.11,-143.1,-0.10,-196.46,-0.39,1
18,Entry long,2023-08-17 09:35,G_L,14958,5,149580,-146.2,-0.10,169.4,0.11,-143.1,-0.10,-196.46,-0.39,1
19,Exit short,2023-08-21 09:45,G_SX,14856,5,148760,193.8,0.13,196.9,0.13,-130.6,-0.09,-2.66,-0.01,2
19,Entry short,2023-08-21 09:35,G_S,14876,5,148760,193.8,0.13,196.9,0.13,-130.6,-0.09,-2.66,-0.01,2
