Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-07-17 14:55,L_SX,15832.5,6,189837,-160.44,-0.08,86.28,0.05,-156.72,-0.08,-160.44,-0.32,5
1,Entry short,2023-07-17 14:30,L_S,15819.75,6,189837,-160.44,-0.08,86.28,0.05,-156.72,-0.08,-160.44,-0.32,5
2,Exit short,2023-07-18 14:45,L_SX,16009,4,127944,-132.96,-0.10,67.52,0.05,-130.48,-0.10,-293.4,-0.59,3
2,Entry short,2023-07-18 14:30,L_S,15993,4,127944,-132.96,-0.10,67.52,0.05,-130.48,-0.10,-293.4,-0.59,3
3,Exit long,2023-07-19 15:55,flat 15:55,15957,3,95679,59.28,0.06,317.64,0.33,-75.36,-0.08,-234.12,-0.47,17
3,Entry long,2023-07-19 14:30,L_L,15946.5,3,95679,59.28,0.06,317.64,0.33,-75.36,-0.08,-234.12,-0.47,17
4,Exit long,2023-07-20 14:50,L_LX,15607.5,3,93765,-123.72,-0.13,43.14,0.05,-121.86,-0.13,-357.84,-0.72,4
4,Entry long,2023-07-20 14:30,L_L,15627.5,3,93765,-123.72,-0.13,43.14,0.05,-121.86,-0.13,-357.84,-0.72,4
5,Exit long,2023-07-21 15:00,L_LX,15569.25,3,93546,-134.22,-0.14,140.64,0.15,-132.36,-0.14,-492.06,-0.98,6
5,Entry long,2023-07-21 14:30,L_L,15591,3,93546,-134.22,-0.14,140.64,0.15,-132.36,-0.14,-492.06,-0.98,6
6,Exit short,2023-07-25 14:45,L_SX,15736.25,6,188679,-163.44,-0.09,65.28,0.03,-159.72,-0.08,-655.5,-1.31,3
6,Entry short,2023-07-25 14:30,L_S,15723.25,6,188679,-163.44,-0.09,65.28,0.03,-159.72,-0.08,-655.5,-1.31,3
7,Exit long,2023-07-26 14:35,L_LX,15619.25,3,93420,291.78,0.31,293.64,0.31,-3.36,0.00,-363.72,-0.73,1
7,Entry long,2023-07-26 14:30,L_L,15570,3,93420,291.78,0.31,293.64,0.31,-3.36,0.00,-363.72,-0.73,1
8,Exit long,2023-07-27 14:35,L_LX,15578,2,62433,-123.48,-0.20,15.76,0.03,-122.24,-0.20,-487.2,-0.97,1
8,Entry long,2023-07-27 14:30,L_L,15608.25,2,62433,-123.48,-0.20,15.76,0.03,-122.24,-0.20,-487.2,-0.97,1
9,Exit short,2023-07-28 14:50,L_SX,15872,3,95112,-123.72,-0.13,185.64,0.20,-121.86,-0.13,-610.92,-1.22,4
9,Entry short,2023-07-28 14:30,L_S,15852,3,95112,-123.72,-0.13,185.64,0.20,-121.86,-0.13,-610.92,-1.22,4
