Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-09-01 09:55,MPSF_SX,15529.75,9,279378,-168.66,-0.06,79.92,0.03,-163.08,-0.06,-168.66,-0.34,1
1,Entry short,2023-09-01 09:50,MPSF_S,15521,9,279378,-168.66,-0.06,79.92,0.03,-163.08,-0.06,-168.66,-0.34,1
2,Exit long,2023-09-05 10:00,MPSF_LX,15444.5,4,123704,-152.96,-0.12,33.52,0.03,-150.48,-0.12,-321.62,-0.64,1
2,Entry long,2023-09-05 09:55,MPSF_L,15463,4,123704,-152.96,-0.12,33.52,0.03,-150.48,-0.12,-321.62,-0.64,1
3,Exit long,2023-09-26 09:45,MPSF_LX,14812,3,89025,-156.72,-0.18,35.64,0.04,-154.86,-0.17,-478.34,-0.96,2
3,Entry long,2023-09-26 09:35,MPSF_L,14837.5,3,89025,-156.72,-0.18,35.64,0.04,-154.86,-0.17,-478.34,-0.96,2
4,Exit long,2023-09-28 09:45,MPSF_LX,14687.75,5,146685,186.3,0.13,189.4,0.13,-80.6,-0.05,-292.04,-0.58,1
4,Entry long,2023-09-28 09:40,MPSF_L,14668.5,5,146685,186.3,0.13,189.4,0.13,-80.6,-0.05,-292.04,-0.58,1
5,Exit short,2023-10-12 10:00,MPSF_SX,15397,4,123036,-144.96,-0.12,109.52,0.09,-142.48,-0.12,-437,-0.87,4
5,Entry short,2023-10-12 09:40,MPSF_S,15379.5,4,123036,-144.96,-0.12,109.52,0.09,-142.48,-0.12,-437,-0.87,4
6,Exit long,2023-10-19 09:55,MPSF_LX,15036,3,90361.5,-149.22,-0.17,37.14,0.04,-147.36,-0.16,-586.22,-1.17,1
6,Entry long,2023-10-19 09:50,MPSF_L,15060.25,3,90361.5,-149.22,-0.17,37.14,0.04,-147.36,-0.16,-586.22,-1.17,1
7,Exit short,2023-12-07 09:45,MPSF_SX,15924.75,3,95757,204.78,0.21,206.64,0.22,-22.86,-0.02,-381.44,-0.76,2
7,Entry short,2023-12-07 09:35,MPSF_S,15959.5,3,95757,204.78,0.21,206.64,0.22,-22.86,-0.02,-381.44,-0.76,2
8,Exit long,2023-12-21 09:40,MPSF_LX,16904,3,101575.5,-155.22,-0.15,19.14,0.02,-153.36,-0.15,-536.66,-1.07,1
8,Entry long,2023-12-21 09:35,MPSF_L,16929.25,3,101575.5,-155.22,-0.15,19.14,0.02,-153.36,-0.15,-536.66,-1.07,1
9,Exit short,2024-01-18 09:40,MPSF_SX,17048.75,4,136252,-142.96,-0.10,161.52,0.12,-140.48,-0.10,-679.62,-1.36,2
9,Entry short,2024-01-18 09:30,MPSF_S,17031.5,4,136252,-142.96,-0.10,161.52,0.12,-140.48,-0.10,-679.62,-1.36,2
10,Exit long,2024-01-26 09:45,MPSF_LX,17537.25,3,105349.5,-129.72,-0.12,1.14,0.00,-127.86,-0.12,-809.34,-1.62,1
10,Entry long,2024-01-26 09:40,MPSF_L,17558.25,3,105349.5,-129.72,-0.12,1.14,0.00,-127.86,-0.12,-809.34,-1.62,1
11,Exit long,2024-02-27 09:55,MPSF_LX,17984,4,143648,219.04,0.15,221.52,0.15,-50.48,-0.04,-590.3,-1.18,3
11,Entry long,2024-02-27 09:40,MPSF_L,17956,4,143648,219.04,0.15,221.52,0.15,-50.48,-0.04,-590.3,-1.18,3
12,Exit long,2024-02-28 09:45,MPSF_LX,17914.75,9,322623,-168.66,-0.05,0,0.00,-163.08,-0.05,-758.96,-1.52,1
12,Entry long,2024-02-28 09:40,MPSF_L,17923.5,9,322623,-168.66,-0.05,0,0.00,-163.08,-0.05,-758.96,-1.52,1
13,Exit long,2024-03-05 10:00,MPSF_LX,18081.5,3,108276,209.28,0.19,211.14,0.19,-94.86,-0.09,-549.68,-1.10,3
13,Entry long,2024-03-05 09:45,MPSF_L,18046,3,108276,209.28,0.19,211.14,0.19,-94.86,-0.09,-549.68,-1.10,3
14,Exit short,2024-04-26 10:00,MPSF_SX,17804,3,106702.5,-125.22,-0.12,43.14,0.04,-123.36,-0.12,-674.9,-1.35,1
14,Entry short,2024-04-26 09:55,MPSF_S,17783.75,3,106702.5,-125.22,-0.12,43.14,0.04,-123.36,-0.12,-674.9,-1.35,1
15,Exit long,2024-05-09 10:05,MPSF_LX,18185.5,3,108943.5,165.78,0.15,167.64,0.15,-31.86,-0.03,-509.12,-1.02,2
15,Entry long,2024-05-09 09:55,MPSF_L,18157.25,3,108943.5,165.78,0.15,167.64,0.15,-31.86,-0.03,-509.12,-1.02,2
16,Exit short,2024-07-30 09:40,MPSF_SX,19306,3,115716,-123.72,-0.11,13.14,0.01,-121.86,-0.11,-632.84,-1.27,1
16,Entry short,2024-07-30 09:35,MPSF_S,19286,3,115716,-123.72,-0.11,13.14,0.01,-121.86,-0.11,-632.84,-1.27,1
17,Exit long,2024-10-01 09:35,MPSF_LX,20160.5,5,201747.5,-148.7,-0.07,9.4,0.00,-145.6,-0.07,-781.54,-1.56,1
17,Entry long,2024-10-01 09:30,MPSF_L,20174.75,5,201747.5,-148.7,-0.07,9.4,0.00,-145.6,-0.07,-781.54,-1.56,1
18,Exit short,2024-10-09 10:00,MPSF_SX,20280.5,5,202657.5,-153.7,-0.08,194.4,0.10,-150.6,-0.07,-935.24,-1.87,3
18,Entry short,2024-10-09 09:45,MPSF_S,20265.75,5,202657.5,-153.7,-0.08,194.4,0.10,-150.6,-0.07,-935.24,-1.87,3
19,Exit short,2024-10-25 09:35,MPSF_SX,20548.5,6,246426,-163.44,-0.07,8.28,0.00,-159.72,-0.06,-1098.68,-2.20,1
19,Entry short,2024-10-25 09:30,MPSF_S,20535.5,6,246426,-163.44,-0.07,8.28,0.00,-159.72,-0.06,-1098.68,-2.20,1
20,Exit short,2024-11-22 09:45,MPSF_SX,20858.25,4,166720,-150.96,-0.09,85.52,0.05,-148.48,-0.09,-1249.64,-2.50,1
20,Entry short,2024-11-22 09:40,MPSF_S,20840,4,166720,-150.96,-0.09,85.52,0.05,-148.48,-0.09,-1249.64,-2.50,1
21,Exit short,2025-02-05 09:45,MPSF_SX,21589,3,129409.5,-128.22,-0.10,98.64,0.08,-126.36,-0.10,-1377.86,-2.76,2
21,Entry short,2025-02-05 09:35,MPSF_S,21568.25,3,129409.5,-128.22,-0.10,98.64,0.08,-126.36,-0.10,-1377.86,-2.76,2
22,Exit long,2025-02-21 09:40,MPSF_LX,22107,5,221207.5,-143.7,-0.06,41.9,0.02,-140.6,-0.06,-1521.56,-3.04,1
22,Entry long,2025-02-21 09:35,MPSF_L,22120.75,5,221207.5,-143.7,-0.06,41.9,0.02,-140.6,-0.06,-1521.56,-3.04,1
23,Exit short,2025-03-18 09:50,MPSF_SX,19748.75,3,118375.5,-120.72,-0.10,35.64,0.03,-118.86,-0.10,-1642.28,-3.28,1
23,Entry short,2025-03-18 09:45,MPSF_S,19729.25,3,118375.5,-120.72,-0.10,35.64,0.03,-118.86,-0.10,-1642.28,-3.28,1
24,Exit long,2025-04-01 09:35,MPSF_LX,19346.25,3,116214,-140.22,-0.12,98.64,0.08,-138.36,-0.12,-1782.5,-3.56,1
24,Entry long,2025-04-01 09:30,MPSF_L,19369,3,116214,-140.22,-0.12,98.64,0.08,-138.36,-0.12,-1782.5,-3.56,1
25,Exit short,2025-07-31 09:50,MPSF_SX,23662.5,4,189158,-146.96,-0.08,31.52,0.02,-144.48,-0.08,-1929.46,-3.86,1
25,Entry short,2025-07-31 09:45,MPSF_S,23644.75,4,189158,-146.96,-0.08,31.52,0.02,-144.48,-0.08,-1929.46,-3.86,1
26,Exit short,2025-08-28 10:00,MPSF_SX,23630.25,3,141654,-131.22,-0.09,92.64,0.07,-129.36,-0.09,-2060.68,-4.12,1
26,Entry short,2025-08-28 09:55,MPSF_S,23609,3,141654,-131.22,-0.09,92.64,0.07,-129.36,-0.09,-2060.68,-4.12,1
27,Exit long,2025-09-03 09:55,MPSF_LX,23393,5,234065,-141.2,-0.06,56.9,0.02,-138.1,-0.06,-2201.88,-4.40,1
