Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-08-30 09:35,NR_LX,15423,4,123510,-130.96,-0.11,69.52,0.06,-128.48,-0.10,-130.96,-0.26,1
1,Entry long,2023-08-30 09:30,NR_L,15438.75,4,123510,-130.96,-0.11,69.52,0.06,-128.48,-0.10,-130.96,-0.26,1
2,Exit short,2023-09-20 14:05,NR_SX,15332,3,91875,-120.72,-0.13,157.14,0.17,-118.86,-0.13,-251.68,-0.50,1
2,Entry short,2023-09-20 14:00,NR_S,15312.5,3,91875,-120.72,-0.13,157.14,0.17,-118.86,-0.13,-251.68,-0.50,1
3,Exit long,2023-11-08 09:35,NR_LX,15400.75,7,215754,-152.18,-0.07,65.66,0.03,-147.84,-0.07,-403.86,-0.81,1
3,Entry long,2023-11-08 09:30,NR_L,15411,7,215754,-152.18,-0.07,65.66,0.03,-147.84,-0.07,-403.86,-0.81,1
4,Exit long,2023-11-20 09:35,NR_LX,15980,5,159610,183.8,0.12,186.9,0.12,-25.6,-0.02,-220.06,-0.44,1
4,Entry long,2023-11-20 09:30,NR_L,15961,5,159610,183.8,0.12,186.9,0.12,-25.6,-0.02,-220.06,-0.44,1
5,Exit short,2023-11-28 09:45,NR_SX,15981.5,5,159680,-141.2,-0.09,14.4,0.01,-138.1,-0.09,-361.26,-0.72,1
5,Entry short,2023-11-28 09:40,NR_S,15968,5,159680,-141.2,-0.09,14.4,0.01,-138.1,-0.09,-361.26,-0.72,1
6,Exit short,2023-12-29 10:45,NR_SX,17015.5,5,170362.5,201.3,0.12,204.4,0.12,-50.6,-0.03,-159.96,-0.32,1
6,Entry short,2023-12-29 10:40,NR_S,17036.25,5,170362.5,201.3,0.12,204.4,0.12,-50.6,-0.03,-159.96,-0.32,1
7,Exit long,2024-02-12 09:35,NR_LX,18035.5,7,252637,-148.68,-0.06,72.66,0.03,-144.34,-0.06,-308.64,-0.62,1
7,Entry long,2024-02-12 09:30,NR_L,18045.5,7,252637,-148.68,-0.06,72.66,0.03,-144.34,-0.06,-308.64,-0.62,1
8,Exit short,2024-04-02 09:35,NR_SX,18285.5,4,146138,-150.96,-0.10,47.52,0.03,-148.48,-0.10,-459.6,-0.92,1
8,Entry short,2024-04-02 09:30,NR_S,18267.25,4,146138,-150.96,-0.10,47.52,0.03,-148.48,-0.10,-459.6,-0.92,1
9,Exit short,2024-05-09 09:55,NR_SX,18148.5,4,145050,-142.96,-0.10,183.52,0.13,-140.48,-0.10,-602.56,-1.21,3
9,Entry short,2024-05-09 09:40,NR_S,18131.25,4,145050,-142.96,-0.10,183.52,0.13,-140.48,-0.10,-602.56,-1.21,3
10,Exit long,2024-05-15 09:35,NR_LX,18503,3,111138,-123.72,-0.11,50.64,0.05,-121.86,-0.11,-726.28,-1.45,1
10,Entry long,2024-05-15 09:30,NR_L,18523,3,111138,-123.72,-0.11,50.64,0.05,-121.86,-0.11,-726.28,-1.45,1
11,Exit short,2024-06-10 09:45,NR_SX,18993,5,190122.5,186.3,0.10,189.4,0.10,-115.6,-0.06,-539.98,-1.08,3
11,Entry short,2024-06-10 09:30,NR_S,19012.25,5,190122.5,186.3,0.10,189.4,0.10,-115.6,-0.06,-539.98,-1.08,3
12,Exit long,2024-07-10 09:35,NR_LX,20731.25,8,331852,-161.92,-0.05,19.04,0.01,-156.96,-0.05,-701.9,-1.40,1
12,Entry long,2024-07-10 09:30,NR_L,20740.75,8,331852,-161.92,-0.05,19.04,0.01,-156.96,-0.05,-701.9,-1.40,1
13,Exit long,2024-08-22 09:35,NR_LX,19983,4,160004,-144.96,-0.09,21.52,0.01,-142.48,-0.09,-846.86,-1.69,1
13,Entry long,2024-08-22 09:30,NR_L,20000.5,4,160004,-144.96,-0.09,21.52,0.01,-142.48,-0.09,-846.86,-1.69,1
14,Exit long,2024-09-17 09:40,NR_LX,19799,4,158180,207.04,0.13,209.52,0.13,-130.48,-0.08,-639.82,-1.28,2
14,Entry long,2024-09-17 09:30,NR_L,19772.5,4,158180,207.04,0.13,209.52,0.13,-130.48,-0.08,-639.82,-1.28,2
15,Exit long,2024-10-15 09:35,NR_LX,20656.25,5,206367.5,188.8,0.09,191.9,0.09,-10.6,-0.01,-451.02,-0.90,1
15,Entry long,2024-10-15 09:30,NR_L,20636.75,5,206367.5,188.8,0.09,191.9,0.09,-10.6,-0.01,-451.02,-0.90,1
16,Exit long,2024-10-28 09:40,NR_LX,20568,4,164696,-156.96,-0.10,99.52,0.06,-154.48,-0.09,-607.98,-1.22,2
16,Entry long,2024-10-28 09:30,NR_L,20587,4,164696,-156.96,-0.10,99.52,0.06,-154.48,-0.09,-607.98,-1.22,2
17,Exit long,2024-12-09 09:35,NR_LX,21611,5,215902.5,201.3,0.09,204.4,0.09,-13.1,-0.01,-406.68,-0.81,1
17,Entry long,2024-12-09 09:30,NR_L,21590.25,5,215902.5,201.3,0.09,204.4,0.09,-13.1,-0.01,-406.68,-0.81,1
18,Exit long,2025-05-13 14:55,NR_LX,21320.5,3,127744.5,174.78,0.14,176.64,0.14,-51.36,-0.04,-231.9,-0.46,2
18,Entry long,2025-05-13 14:45,NR_L,21290.75,3,127744.5,174.78,0.14,176.64,0.14,-51.36,-0.04,-231.9,-0.46,2
19,Exit long,2025-05-16 14:40,NR_LX,21480.5,3,128709,170.28,0.13,172.14,0.13,-103.86,-0.08,-61.62,-0.12,11
19,Entry long,2025-05-16 13:45,NR_L,21451.5,3,128709,170.28,0.13,172.14,0.13,-103.86,-0.08,-61.62,-0.12,11
20,Exit long,2025-06-06 14:25,NR_LX,21839.25,3,131158.5,-126.72,-0.10,28.14,0.02,-124.86,-0.10,-188.34,-0.38,2
20,Entry long,2025-06-06 14:15,NR_L,21859.75,3,131158.5,-126.72,-0.10,28.14,0.02,-124.86,-0.10,-188.34,-0.38,2
21,Exit long,2025-07-10 09:45,NR_LX,23015.5,4,184260,-140.96,-0.08,85.52,0.05,-138.48,-0.08,-329.3,-0.66,3
21,Entry long,2025-07-10 09:30,NR_L,23032.5,4,184260,-140.96,-0.08,85.52,0.05,-138.48,-0.08,-329.3,-0.66,3
22,Exit long,2025-07-28 09:35,NR_LX,23481.25,5,234945,-138.7,-0.06,101.9,0.04,-135.6,-0.06,-468,-0.94,1
22,Entry long,2025-07-28 09:30,NR_L,23494.5,5,234945,-138.7,-0.06,101.9,0.04,-135.6,-0.06,-468,-0.94,1
23,Exit long,2025-09-18 13:25,NR_LX,24770.25,3,148743,-125.22,-0.08,35.64,0.02,-123.36,-0.08,-593.22,-1.19,5
23,Entry long,2025-09-18 13:00,NR_L,24790.5,3,148743,-125.22,-0.08,35.64,0.02,-123.36,-0.08,-593.22,-1.19,5
24,Exit long,2025-12-02 09:35,NR_LX,25554,4,204214,213.04,0.10,215.52,0.11,-52.48,-0.03,-380.18,-0.76,1
24,Entry long,2025-12-02 09:30,NR_L,25526.75,4,204214,213.04,0.10,215.52,0.11,-52.48,-0.03,-380.18,-0.76,1
25,Exit long,2025-12-24 09:35,NR_LX,25806.5,6,309828,-157.44,-0.05,41.28,0.01,-153.72,-0.05,-537.62,-1.08,1
25,Entry long,2025-12-24 09:30,NR_L,25819,6,309828,-157.44,-0.05,41.28,0.01,-153.72,-0.05,-537.62,-1.08,1
26,Exit short,2025-12-29 13:35,NR_SX,25719.75,3,154197,-125.22,-0.08,112.14,0.07,-123.36,-0.08,-662.84,-1.33,8
26,Entry short,2025-12-29 12:55,NR_S,25699.5,3,154197,-125.22,-0.08,112.14,0.07,-123.36,-0.08,-662.84,-1.33,8
27,Exit short,2025-12-30 09:35,NR_SX,25697.75,4,205764,177.04,0.09,179.52,0.09,-44.48,-0.02,-485.8,-0.97,1
27,Entry short,2025-12-30 09:30,NR_S,25720.5,4,205764,177.04,0.09,179.52,0.09,-44.48,-0.02,-485.8,-0.97,1
