Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-25 14:35,L-X,15731,2,62580,341.52,0.55,342.76,0.55,-170.24,-0.27,341.52,0.68,58
1,Entry long,2023-07-25 09:45,Long,15645,2,62580,341.52,0.55,342.76,0.55,-170.24,-0.27,341.52,0.68,58
2,Exit short,2023-08-01 10:35,S-X,15807.25,2,63021,-210.48,-0.33,107.76,0.17,-209.24,-0.33,131.04,0.26,5
2,Entry short,2023-08-01 10:10,Short,15755.25,2,63021,-210.48,-0.33,107.76,0.17,-209.24,-0.33,131.04,0.26,5
3,Exit long,2023-08-18 10:00,L-X,14621.5,2,58722,-238.48,-0.41,64.76,0.11,-237.24,-0.40,-107.44,-0.21,3
3,Entry long,2023-08-18 09:45,Long,14680.5,2,58722,-238.48,-0.41,64.76,0.11,-237.24,-0.40,-107.44,-0.21,3
4,Exit long,2023-08-23 10:20,L-X,15140.25,2,60221,337.52,0.56,338.76,0.56,-22.24,-0.04,230.08,0.46,7
4,Entry long,2023-08-23 09:45,Long,15055.25,2,60221,337.52,0.56,338.76,0.56,-22.24,-0.04,230.08,0.46,7
5,Exit long,2023-09-04 10:15,L-X,15553,5,155760,-236.2,-0.15,21.9,0.01,-233.1,-0.15,-6.12,-0.01,5
5,Entry long,2023-09-04 09:50,Long,15576,5,155760,-236.2,-0.15,21.9,0.01,-233.1,-0.15,-6.12,-0.01,5
6,Exit short,2023-09-20 15:05,S-X,15285.5,2,61491,346.52,0.56,347.76,0.57,-78.24,-0.13,340.4,0.68,59
6,Entry short,2023-09-20 10:10,Short,15372.75,2,61491,346.52,0.56,347.76,0.57,-78.24,-0.13,340.4,0.68,59
7,Exit short,2023-09-21 15:50,S-X,14876.5,2,59852,343.52,0.57,344.76,0.58,-224.24,-0.37,683.92,1.37,73
7,Entry short,2023-09-21 09:45,Short,14963,2,59852,343.52,0.57,344.76,0.58,-224.24,-0.37,683.92,1.37,73
8,Exit short,2023-09-26 10:15,S-X,14728.25,2,59197,281.52,0.48,282.76,0.48,-6.24,-0.01,965.44,1.93,6
8,Entry short,2023-09-26 09:45,Short,14799.25,2,59197,281.52,0.48,282.76,0.48,-6.24,-0.01,965.44,1.93,6
9,Exit short,2023-09-27 12:00,S-X,14661,2,58963,316.52,0.54,317.76,0.54,-126.24,-0.21,1281.96,2.56,24
9,Entry short,2023-09-27 10:00,Short,14740.75,2,58963,316.52,0.54,317.76,0.54,-126.24,-0.21,1281.96,2.56,24
10,Exit long,2023-09-29 10:20,L-X,14975.5,3,90105,-255.72,-0.28,257.64,0.29,-253.86,-0.28,1026.24,2.05,7
10,Entry long,2023-09-29 09:45,Long,15017.5,3,90105,-255.72,-0.28,257.64,0.29,-253.86,-0.28,1026.24,2.05,7
11,Exit long,2023-10-03 10:00,L-X,14872.5,2,59725,-237.48,-0.40,169.76,0.28,-236.24,-0.40,788.76,1.58,3
11,Entry long,2023-10-03 09:45,Long,14931.25,2,59725,-237.48,-0.40,169.76,0.28,-236.24,-0.40,788.76,1.58,3
12,Exit long,2023-10-12 13:05,L-X,15364.75,2,61690,-233.48,-0.38,186.76,0.30,-232.24,-0.38,555.28,1.11,36
12,Entry long,2023-10-12 10:05,Long,15422.5,2,61690,-233.48,-0.38,186.76,0.30,-232.24,-0.38,555.28,1.11,36
13,Exit short,2023-10-17 10:05,S-X,15143.25,2,60333,-242.48,-0.40,131.76,0.22,-241.24,-0.40,312.8,0.63,4
13,Entry short,2023-10-17 09:45,Short,15083.25,2,60333,-242.48,-0.40,131.76,0.22,-241.24,-0.40,312.8,0.63,4
14,Exit short,2023-10-27 10:05,S-X,14350.75,2,57185,-220.48,-0.39,19.76,0.03,-219.24,-0.38,92.32,0.18,4
14,Entry short,2023-10-27 09:45,Short,14296.25,2,57185,-220.48,-0.39,19.76,0.03,-219.24,-0.38,92.32,0.18,4
15,Exit long,2023-11-09 10:05,L-X,15364.5,2,61693,-237.48,-0.38,36.76,0.06,-236.24,-0.38,-145.16,-0.29,2
15,Entry long,2023-11-09 09:55,Long,15423.25,2,61693,-237.48,-0.38,36.76,0.06,-236.24,-0.38,-145.16,-0.29,2
16,Exit short,2023-11-15 10:50,S-X,15975.25,2,63675,-228.48,-0.36,50.76,0.08,-227.24,-0.36,-373.64,-0.75,12
16,Entry short,2023-11-15 09:50,Short,15918.75,2,63675,-228.48,-0.36,50.76,0.08,-227.24,-0.36,-373.64,-0.75,12
17,Exit long,2023-11-16 10:40,L-X,15823.75,2,63471,-178.48,-0.28,150.76,0.24,-177.24,-0.28,-552.12,-1.10,11
17,Entry long,2023-11-16 09:45,Long,15867.75,2,63471,-178.48,-0.28,150.76,0.24,-177.24,-0.28,-552.12,-1.10,11
18,Exit long,2023-11-17 10:10,L-X,15830.25,2,63495,-176.48,-0.28,0,0.00,-175.24,-0.28,-728.6,-1.46,3
18,Entry long,2023-11-17 09:55,Long,15873.75,2,63495,-176.48,-0.28,0,0.00,-175.24,-0.28,-728.6,-1.46,3
19,Exit short,2023-11-23 10:55,S-X,16070.75,7,224759.5,-239.68,-0.11,34.16,0.02,-235.34,-0.10,-968.28,-1.94,11
19,Entry short,2023-11-23 10:00,Short,16054.25,7,224759.5,-239.68,-0.11,34.16,0.02,-235.34,-0.10,-968.28,-1.94,11
20,Exit short,2023-11-28 10:35,S-X,16008.5,2,63839,-197.48,-0.31,2.76,0.00,-196.24,-0.31,-1165.76,-2.33,9
20,Entry short,2023-11-28 09:50,Short,15959.75,2,63839,-197.48,-0.31,2.76,0.00,-196.24,-0.31,-1165.76,-2.33,9
21,Exit short,2023-12-04 10:20,S-X,15762.75,2,63325,271.52,0.43,272.76,0.43,-12.24,-0.02,-894.24,-1.79,2
21,Entry short,2023-12-04 10:10,Short,15831.25,2,63325,271.52,0.43,272.76,0.43,-12.24,-0.02,-894.24,-1.79,2
22,Exit short,2023-12-14 13:00,S-X,16716,2,67219,352.52,0.52,353.76,0.53,-63.24,-0.09,-541.72,-1.08,33
22,Entry short,2023-12-14 10:15,Short,16804.75,2,67219,352.52,0.52,353.76,0.53,-63.24,-0.09,-541.72,-1.08,33
23,Exit long,2023-12-18 13:25,L-X,16949.75,2,67515,281.52,0.42,282.76,0.42,-93.24,-0.14,-260.2,-0.52,42
23,Entry long,2023-12-18 09:55,Long,16878.75,2,67515,281.52,0.42,282.76,0.42,-93.24,-0.14,-260.2,-0.52,42
24,Exit long,2023-12-19 15:55,flat,17020.75,2,67991,89.52,0.13,117.76,0.17,-132.24,-0.19,-170.68,-0.34,65
24,Entry long,2023-12-19 10:30,Long,16997.75,2,67991,89.52,0.13,117.76,0.17,-132.24,-0.19,-170.68,-0.34,65
25,Exit long,2023-12-20 14:35,L-X,16969.5,2,68105,-229.48,-0.34,187.76,0.28,-228.24,-0.34,-400.16,-0.80,55
25,Entry long,2023-12-20 10:00,Long,17026.25,2,68105,-229.48,-0.34,187.76,0.28,-228.24,-0.34,-400.16,-0.80,55
26,Exit long,2023-12-26 15:55,flat,17083.75,2,68231,101.52,0.15,213.76,0.31,-141.24,-0.21,-298.64,-0.60,64
26,Entry long,2023-12-26 10:35,Long,17057.75,2,68231,101.52,0.15,213.76,0.31,-141.24,-0.21,-298.64,-0.60,64
27,Exit short,2023-12-28 15:55,flat,17091,2,68444,77.52,0.11,130.76,0.19,-135.24,-0.20,-221.12,-0.44,70
27,Entry short,2023-12-28 10:05,Short,17111,2,68444,77.52,0.11,130.76,0.19,-135.24,-0.20,-221.12,-0.44,70
28,Exit long,2023-12-29 10:30,L-X,17070.75,4,136814,-252.96,-0.18,43.52,0.03,-250.48,-0.18,-474.08,-0.95,8
28,Entry long,2023-12-29 09:50,Long,17101.75,4,136814,-252.96,-0.18,43.52,0.03,-250.48,-0.18,-474.08,-0.95,8
29,Exit short,2024-01-10 10:40,S-X,16875.25,2,67290,-213.48,-0.32,81.76,0.12,-212.24,-0.32,-687.56,-1.38,10
29,Entry short,2024-01-10 09:50,Short,16822.5,2,67290,-213.48,-0.32,81.76,0.12,-212.24,-0.32,-687.56,-1.38,10
30,Exit short,2024-01-15 10:45,S-X,16968.75,5,169450,-243.7,-0.14,86.9,0.05,-240.6,-0.14,-931.26,-1.86,12
30,Entry short,2024-01-15 09:45,Short,16945,5,169450,-243.7,-0.14,86.9,0.05,-240.6,-0.14,-931.26,-1.86,12
31,Exit long,2024-01-19 12:20,L-X,17277.75,2,68842,266.52,0.39,267.76,0.39,-168.24,-0.24,-664.74,-1.33,30
31,Entry long,2024-01-19 09:50,Long,17210.5,2,68842,266.52,0.39,267.76,0.39,-168.24,-0.24,-664.74,-1.33,30
32,Exit short,2024-01-25 10:20,S-X,17729.25,2,70677,-242.48,-0.34,76.76,0.11,-241.24,-0.34,-907.22,-1.81,5
32,Entry short,2024-01-25 09:55,Short,17669.25,2,70677,-242.48,-0.34,76.76,0.11,-241.24,-0.34,-907.22,-1.81,5
33,Exit short,2024-01-26 10:25,S-X,17572.75,2,70109,-184.48,-0.26,91.76,0.13,-183.24,-0.26,-1091.7,-2.18,7
33,Entry short,2024-01-26 09:50,Short,17527.25,2,70109,-184.48,-0.26,91.76,0.13,-183.24,-0.26,-1091.7,-2.18,7
34,Exit short,2024-01-30 12:30,S-X,17580.25,2,70574,250.52,0.35,251.76,0.36,-97.24,-0.14,-841.18,-1.68,30
