Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2023-07-14 12:20,P_LX,15773.75,3,94770,-131.22,-0.14,32.64,0.03,-129.36,-0.14,-131.22,-0.26,3
1,Entry long,2023-07-14 12:05,P_L,15795,3,94770,-131.22,-0.14,32.64,0.03,-129.36,-0.14,-131.22,-0.26,3
2,Exit long,2023-07-17 12:20,P_LX,15781.25,4,126390,-144.96,-0.11,33.52,0.03,-142.48,-0.11,-276.18,-0.55,3
2,Entry long,2023-07-17 12:05,P_L,15798.75,4,126390,-144.96,-0.11,33.52,0.03,-142.48,-0.11,-276.18,-0.55,3
3,Exit long,2023-07-18 12:20,P_LX,15869.5,3,95344.5,-131.22,-0.14,23.64,0.02,-129.36,-0.14,-407.4,-0.81,3
3,Entry long,2023-07-18 12:05,P_L,15890.75,3,95344.5,-131.22,-0.14,23.64,0.02,-129.36,-0.14,-407.4,-0.81,3
4,Exit short,2023-07-20 12:20,P_SX,15730.5,3,94576.5,189.78,0.20,191.64,0.20,-118.86,-0.13,-217.62,-0.44,3
4,Entry short,2023-07-20 12:05,P_S,15762.75,3,94576.5,189.78,0.20,191.64,0.20,-118.86,-0.13,-217.62,-0.44,3
5,Exit short,2023-07-21 13:25,P_SX,15621.75,2,62369,-120.48,-0.19,147.76,0.24,-119.24,-0.19,-338.1,-0.68,16
5,Entry short,2023-07-21 12:05,P_S,15592.25,2,62369,-120.48,-0.19,147.76,0.24,-119.24,-0.19,-338.1,-0.68,16
6,Exit long,2023-07-25 12:25,P_LX,15660.5,4,125410,-130.96,-0.10,33.52,0.03,-128.48,-0.10,-469.06,-0.94,4
6,Entry long,2023-07-25 12:05,P_L,15676.25,4,125410,-130.96,-0.10,33.52,0.03,-128.48,-0.10,-469.06,-0.94,4
7,Exit short,2023-07-26 12:25,P_SX,15564.75,4,124710,187.04,0.15,189.52,0.15,-84.48,-0.07,-282.02,-0.56,4
7,Entry short,2023-07-26 12:05,P_S,15588.75,4,124710,187.04,0.15,189.52,0.15,-84.48,-0.07,-282.02,-0.56,4
8,Exit short,2023-07-27 12:25,P_SX,15848.5,3,94947,-147.72,-0.16,58.14,0.06,-145.86,-0.15,-429.74,-0.86,4
8,Entry short,2023-07-27 12:05,P_S,15824.5,3,94947,-147.72,-0.16,58.14,0.06,-145.86,-0.15,-429.74,-0.86,4
9,Exit long,2023-07-28 12:20,P_LX,15890.75,3,95161.5,179.28,0.19,181.14,0.19,-16.86,-0.02,-250.46,-0.50,3
9,Entry long,2023-07-28 12:05,P_L,15860.25,3,95161.5,179.28,0.19,181.14,0.19,-16.86,-0.02,-250.46,-0.50,3
10,Exit long,2023-08-01 12:25,P_LX,15793.5,3,94881,-123.72,-0.13,58.14,0.06,-121.86,-0.13,-374.18,-0.75,4
10,Entry long,2023-08-01 12:05,P_L,15813.5,3,94881,-123.72,-0.13,58.14,0.06,-121.86,-0.13,-374.18,-0.75,4
11,Exit short,2023-08-02 12:35,P_SX,15452.25,3,92572.5,-144.72,-0.16,91.14,0.10,-142.86,-0.15,-518.9,-1.04,6
11,Entry short,2023-08-02 12:05,P_S,15428.75,3,92572.5,-144.72,-0.16,91.14,0.10,-142.86,-0.15,-518.9,-1.04,6
12,Exit long,2023-08-03 12:40,P_LX,15502.75,3,92802,210.78,0.23,212.64,0.23,-91.86,-0.10,-308.12,-0.62,7
12,Entry long,2023-08-03 12:05,P_L,15467,3,92802,210.78,0.23,212.64,0.23,-91.86,-0.10,-308.12,-0.62,7
13,Exit long,2023-08-04 12:25,P_LX,15587.5,3,93306,215.28,0.23,217.14,0.23,-19.86,-0.02,-92.84,-0.19,4
13,Entry long,2023-08-04 12:05,P_L,15551,3,93306,215.28,0.23,217.14,0.23,-19.86,-0.02,-92.84,-0.19,4
14,Exit short,2023-08-08 12:35,P_SX,15292,3,91609.5,-146.22,-0.16,26.64,0.03,-144.36,-0.16,-239.06,-0.48,6
14,Entry short,2023-08-08 12:05,P_S,15268.25,3,91609.5,-146.22,-0.16,26.64,0.03,-144.36,-0.16,-239.06,-0.48,6
15,Exit short,2023-08-09 12:30,P_SX,15209,3,91111.5,-146.22,-0.16,77.64,0.09,-144.36,-0.16,-385.28,-0.77,5
15,Entry short,2023-08-09 12:05,P_S,15185.25,3,91111.5,-146.22,-0.16,77.64,0.09,-144.36,-0.16,-385.28,-0.77,5
16,Exit short,2023-08-10 12:40,P_SX,15265.75,2,60934,-131.48,-0.22,148.76,0.24,-130.24,-0.21,-516.76,-1.03,7
16,Entry short,2023-08-10 12:05,P_S,15233.5,2,60934,-131.48,-0.22,148.76,0.24,-130.24,-0.21,-516.76,-1.03,7
17,Exit long,2023-08-14 12:15,P_LX,15195,3,91303.5,-137.22,-0.15,1.14,0.00,-135.36,-0.15,-653.98,-1.31,2
17,Entry long,2023-08-14 12:05,P_L,15217.25,3,91303.5,-137.22,-0.15,1.14,0.00,-135.36,-0.15,-653.98,-1.31,2
18,Exit short,2023-08-15 13:40,P_SX,15140.25,3,91033.5,188.28,0.21,190.14,0.21,-127.86,-0.14,-465.7,-0.93,19
18,Entry short,2023-08-15 12:05,P_S,15172.25,3,91033.5,188.28,0.21,190.14,0.21,-127.86,-0.14,-465.7,-0.93,19
19,Exit short,2023-08-16 12:30,P_SX,15006.75,3,90232.5,188.28,0.21,190.14,0.21,-6.36,-0.01,-277.42,-0.55,5
19,Entry short,2023-08-16 12:05,P_S,15038.75,3,90232.5,188.28,0.21,190.14,0.21,-6.36,-0.01,-277.42,-0.55,5
20,Exit short,2023-08-17 12:10,P_SX,14909.5,3,89310,-150.72,-0.17,0,0.00,-148.86,-0.17,-428.14,-0.86,1
20,Entry short,2023-08-17 12:05,P_S,14885,3,89310,-150.72,-0.17,0,0.00,-148.86,-0.17,-428.14,-0.86,1
21,Exit long,2023-08-18 12:10,P_LX,14719.5,3,88470,-156.72,-0.18,35.64,0.04,-154.86,-0.18,-584.86,-1.17,1
21,Entry long,2023-08-18 12:05,P_L,14745,3,88470,-156.72,-0.18,35.64,0.04,-154.86,-0.18,-584.86,-1.17,1
22,Exit short,2023-08-22 12:15,P_SX,14938,3,89832,200.28,0.22,202.14,0.23,-7.86,-0.01,-384.58,-0.77,2
22,Entry short,2023-08-22 12:05,P_S,14972,3,89832,200.28,0.22,202.14,0.23,-7.86,-0.01,-384.58,-0.77,2
23,Exit long,2023-08-23 13:15,P_LX,15205.75,4,121428,213.04,0.18,215.52,0.18,-88.48,-0.07,-171.54,-0.34,14
23,Entry long,2023-08-23 12:05,P_L,15178.5,4,121428,213.04,0.18,215.52,0.18,-88.48,-0.07,-171.54,-0.34,14
24,Exit short,2023-08-24 12:15,P_SX,15000.25,2,59890,-113.48,-0.19,10.76,0.02,-112.24,-0.19,-285.02,-0.57,2
24,Entry short,2023-08-24 12:05,P_S,14972.5,2,59890,-113.48,-0.19,10.76,0.02,-112.24,-0.19,-285.02,-0.57,2
25,Exit short,2023-08-25 12:25,P_SX,14881.5,1,29683,-81.24,-0.27,53.88,0.18,-80.62,-0.27,-366.26,-0.73,4
