Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2023-07-17 13:45,Z_SX,15811.75,4,126366,-132.96,-0.11,281.52,0.22,-130.48,-0.10,-132.96,-0.27,19
1,Entry short,2023-07-17 12:10,Z_S,15795.75,4,126366,-132.96,-0.11,281.52,0.22,-130.48,-0.10,-132.96,-0.27,19
2,Exit short,2023-07-18 11:10,Z_SX,15808.25,7,221172,-152.18,-0.07,86.66,0.04,-147.84,-0.07,-285.14,-0.57,1
2,Entry short,2023-07-18 11:05,Z_S,15798,7,221172,-152.18,-0.07,86.66,0.04,-147.84,-0.07,-285.14,-0.57,1
3,Exit short,2023-07-25 14:30,Z_SX,15719.25,8,251348,-169.92,-0.07,0,0.00,-164.96,-0.07,-455.06,-0.91,1
3,Entry short,2023-07-25 14:25,Z_S,15709.25,8,251348,-169.92,-0.07,0,0.00,-164.96,-0.07,-455.06,-0.91,1
4,Exit short,2023-07-26 10:10,Z_SX,15602,3,93741,125.28,0.13,127.14,0.14,-37.86,-0.04,-329.78,-0.66,2
4,Entry short,2023-07-26 10:00,Z_S,15623.5,3,93741,125.28,0.13,127.14,0.14,-37.86,-0.04,-329.78,-0.66,2
5,Exit short,2023-07-28 11:40,Z_SX,15881,4,126900,-152.96,-0.12,37.52,0.03,-150.48,-0.12,-482.74,-0.97,2
5,Entry short,2023-07-28 11:30,Z_S,15862.5,4,126900,-152.96,-0.12,37.52,0.03,-150.48,-0.12,-482.74,-0.97,2
6,Exit short,2023-08-01 13:35,Z_SX,15796.75,4,126668,289.04,0.23,291.52,0.23,-4.48,0.00,-193.7,-0.39,6
6,Entry short,2023-08-01 13:05,Z_S,15833.5,4,126668,289.04,0.23,291.52,0.23,-4.48,0.00,-193.7,-0.39,6
7,Exit long,2023-08-16 12:10,Z_LX,15027,3,90279,-120.72,-0.13,26.64,0.03,-118.86,-0.13,-314.42,-0.63,2
7,Entry long,2023-08-16 12:00,Z_L,15046.5,3,90279,-120.72,-0.13,26.64,0.03,-118.86,-0.13,-314.42,-0.63,2
8,Exit short,2023-08-21 14:20,Z_SX,14974.25,4,119650,-148.96,-0.12,165.52,0.14,-146.48,-0.12,-463.38,-0.93,7
8,Entry short,2023-08-21 13:45,Z_S,14956.25,4,119650,-148.96,-0.12,165.52,0.14,-146.48,-0.12,-463.38,-0.93,7
9,Exit long,2023-08-22 15:55,flat 15:55,14960,3,89700,56.28,0.06,361.14,0.40,-115.86,-0.13,-407.1,-0.81,43
9,Entry long,2023-08-22 12:20,Z_L,14950,3,89700,56.28,0.06,361.14,0.40,-115.86,-0.13,-407.1,-0.81,43
10,Exit long,2023-09-04 10:30,Z_LX,15545.75,8,248888,-165.92,-0.07,19.04,0.01,-160.96,-0.06,-573.02,-1.15,2
10,Entry long,2023-09-04 10:20,Z_L,15555.5,8,248888,-165.92,-0.07,19.04,0.01,-160.96,-0.06,-573.02,-1.15,2
11,Exit short,2023-09-07 14:55,Z_SX,15297.25,4,122236,-146.96,-0.12,265.52,0.22,-144.48,-0.12,-719.98,-1.44,12
11,Entry short,2023-09-07 13:55,Z_S,15279.5,4,122236,-146.96,-0.12,265.52,0.22,-144.48,-0.12,-719.98,-1.44,12
12,Exit short,2023-09-11 15:20,Z_SX,15486.75,6,185691,-157.44,-0.08,107.28,0.06,-153.72,-0.08,-877.42,-1.75,12
12,Entry short,2023-09-11 14:20,Z_S,15474.25,6,185691,-157.44,-0.08,107.28,0.06,-153.72,-0.08,-877.42,-1.75,12
13,Exit short,2023-09-18 12:30,Z_SX,15456,4,123510,-142.96,-0.12,97.52,0.08,-140.48,-0.11,-1020.38,-2.04,9
13,Entry short,2023-09-18 11:45,Z_S,15438.75,4,123510,-142.96,-0.12,97.52,0.08,-140.48,-0.11,-1020.38,-2.04,9
14,Exit long,2023-09-20 14:00,Z_LX,15321,5,153365,-161.2,-0.11,504.4,0.33,-158.1,-0.10,-1181.58,-2.36,31
14,Entry long,2023-09-20 11:25,Z_L,15336.5,5,153365,-161.2,-0.11,504.4,0.33,-158.1,-0.10,-1181.58,-2.36,31
15,Exit short,2023-09-22 10:50,Z_SX,15008,5,149937.5,-148.7,-0.10,74.4,0.05,-145.6,-0.10,-1330.28,-2.66,2
15,Entry short,2023-09-22 10:40,Z_S,14993.75,5,149937.5,-148.7,-0.10,74.4,0.05,-145.6,-0.10,-1330.28,-2.66,2
16,Exit short,2023-09-25 12:15,Z_SX,14929.25,4,119304,-134.96,-0.11,227.52,0.19,-132.48,-0.11,-1465.24,-2.93,11
16,Entry short,2023-09-25 11:20,Z_S,14913,4,119304,-134.96,-0.11,227.52,0.19,-132.48,-0.11,-1465.24,-2.93,11
17,Exit long,2023-09-27 12:00,Z_LX,14666.5,4,117472,-144.96,-0.12,0,0.00,-142.48,-0.12,-1610.2,-3.22,1
17,Entry long,2023-09-27 11:55,Z_L,14684,4,117472,-144.96,-0.12,0,0.00,-142.48,-0.12,-1610.2,-3.22,1
18,Exit long,2023-10-11 12:50,Z_LX,15275.5,3,91776,-126.72,-0.14,86.64,0.09,-124.86,-0.14,-1736.92,-3.47,5
18,Entry long,2023-10-11 12:25,Z_L,15296,3,91776,-126.72,-0.14,86.64,0.09,-124.86,-0.14,-1736.92,-3.47,5
19,Exit long,2023-10-25 13:00,Z_LX,14534.25,4,116424,-154.96,-0.13,61.52,0.05,-152.48,-0.13,-1891.88,-3.78,1
19,Entry long,2023-10-25 12:55,Z_L,14553,4,116424,-154.96,-0.13,61.52,0.05,-152.48,-0.13,-1891.88,-3.78,1
20,Exit short,2023-11-02 13:30,Z_SX,14986.75,6,179688,-160.44,-0.09,122.28,0.07,-156.72,-0.09,-2052.32,-4.10,2
20,Entry short,2023-11-02 13:20,Z_S,14974,6,179688,-160.44,-0.09,122.28,0.07,-156.72,-0.09,-2052.32,-4.10,2
21,Exit long,2023-11-06 13:10,Z_LX,15174.5,4,121546,-154.96,-0.13,103.52,0.09,-152.48,-0.13,-2207.28,-4.41,4
21,Entry long,2023-11-06 12:50,Z_L,15193.25,4,121546,-154.96,-0.13,103.52,0.09,-152.48,-0.13,-2207.28,-4.41,4
22,Exit short,2023-11-07 13:35,Z_SX,15406,4,123098,-154.96,-0.13,459.52,0.37,-152.48,-0.12,-2362.24,-4.72,32
22,Entry short,2023-11-07 10:55,Z_S,15387.25,4,123098,-154.96,-0.13,459.52,0.37,-152.48,-0.12,-2362.24,-4.72,32
