date,pnl_usd,trade_num
2024-12-31,-382.40,1
2025-01-08,2217.12,2
2025-01-28,-423.60,3
2025-01-29,-408.60,4
2025-02-19,-440.72,5
2025-02-27,-415.14,1
2025-02-28,-416.88,2
2025-03-06,-104.88,3
2025-03-13,-29.58,4
2025-03-14,-437.76,5
2025-03-25,-409.64,6
2025-03-27,-58.32,7
2025-04-02,-423.28,8
2025-04-17,2380.16,9
2025-04-22,-437.76,1
2025-04-24,-398.88,2
2025-06-17,-38.08,1
2025-06-20,-24.36,2
2025-06-26,-399.62,3
2025-07-08,-412.08,4
2025-07-16,-395.36,5
2025-07-22,-29.58,6
2025-07-23,-429.08,7
2025-07-25,-419.84,8
2025-07-30,-412.08,9
2025-08-07,2267.60,10
2025-08-08,-399.62,11
2025-08-21,-419.84,1
2025-09-03,-22.62,2
2025-09-09,-434.28,3
2025-09-23,-26.10,4
2025-10-31,-399.62,1
2025-11-06,-411.84,2
2025-11-18,2325.12,3
2025-11-25,-410.88,4
2025-12-02,-406.12,1
2025-12-03,2321.40,2
2025-12-16,2325.12,3
2025-12-19,-419.84,4
2026-01-06,-27.84,5
2026-01-07,-403.84,6
2026-01-08,2252.60,7
2026-01-13,2284.16,8
2026-01-15,-404.88,9
2026-01-16,-417.40,10
2026-01-21,2334.64,11
2026-01-22,-412.62,12
2026-01-28,-427.32,1
2026-02-10,2334.64,2
2026-02-17,-402.36,3
2026-02-26,-289.12,4
2026-03-13,-407.40,5
2026-03-19,-409.64,6
2026-03-20,-22.62,7
2026-03-26,-17.40,1
2026-03-27,-19.14,2
2026-03-31,-419.84,3
2026-04-16,-393.14,4
2026-04-21,-398.64,5
2026-04-28,-407.40,6
2026-04-30,-26.10,7
2026-05-21,2308.16,1
2026-05-26,-404.88,2
2026-05-29,2327.60,3
2026-06-05,2329.36,4
2026-06-10,-404.14,5
2026-06-17,-404.88,6
2026-07-01,-27.84,7
2026-07-08,-416.10,8
