Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit short,2025-06-17 10:05,S-X,22105.5,17,751570,-38.08,-0.01,0,0.00,-87.04,-0.01,-38.08,-0.08,0
1,Entry short,2025-06-17 10:05,Short,22105,17,751570,-38.08,-0.01,0,0.00,-87.04,-0.01,-38.08,-0.08,0
2,Exit long,2025-06-20 13:20,L-X,21845.25,14,611674,-24.36,0.00,1979.32,0.32,-92.68,-0.02,-62.44,-0.12,12
2,Entry long,2025-06-20 12:20,Long,21845.5,14,611674,-24.36,0.00,1979.32,0.32,-92.68,-0.02,-62.44,-0.12,12
3,Exit short,2025-06-26 10:15,S-X,22564.25,13,586664,-22.62,0.00,498.94,0.09,-60.06,-0.01,-85.06,-0.17,1
3,Entry short,2025-06-26 10:10,Short,22564,13,586664,-22.62,0.00,498.94,0.09,-60.06,-0.01,-85.06,-0.17,1
4,Exit long,2025-06-27 13:35,L-X,22759.5,12,546234,-20.88,0.00,1438.56,0.26,-31.44,-0.01,-105.94,-0.21,28
4,Entry long,2025-06-27 11:15,Long,22759.75,12,546234,-20.88,0.00,1438.56,0.26,-31.44,-0.01,-105.94,-0.21,28
5,Exit short,2025-07-02 10:45,S-X,22819,10,456010,-382.4,-0.08,0,0.00,-376.2,-0.08,-488.34,-0.98,0
5,Entry short,2025-07-02 10:45,Short,22800.5,10,456010,-382.4,-0.08,0,0.00,-376.2,-0.08,-488.34,-0.98,0
6,Exit long,2025-07-08 10:05,L-X,22870.25,17,777979.5,-412.08,-0.05,0,0.00,-401.54,-0.05,-900.42,-1.80,0
6,Entry long,2025-07-08 10:05,Long,22881.75,17,777979.5,-412.08,-0.05,0,0.00,-401.54,-0.05,-900.42,-1.80,0
7,Exit long,2025-07-16 11:15,L-X,22946,14,642866,-395.36,-0.06,0,0.00,-386.68,-0.06,-1295.78,-2.59,0
7,Entry long,2025-07-16 11:15,Long,22959.5,14,642866,-395.36,-0.06,0,0.00,-386.68,-0.06,-1295.78,-2.59,0
8,Exit long,2025-07-22 12:25,L-X,23197.25,17,788715,-29.58,0.00,907.46,0.12,-70.04,-0.01,-1325.36,-2.65,3
8,Entry long,2025-07-22 12:10,Long,23197.5,17,788715,-29.58,0.00,907.46,0.12,-70.04,-0.01,-1325.36,-2.65,3
9,Exit long,2025-07-23 10:10,L-X,23147.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-1754.44,-3.51,0
9,Entry long,2025-07-23 10:10,Long,23159.75,17,787431.5,-429.08,-0.05,0,0.00,-418.54,-0.05,-1754.44,-3.51,0
10,Exit long,2025-07-24 12:25,L-X,23348.75,27,1261237.5,-438.48,-0.03,0,0.00,-421.74,-0.03,-2192.92,-4.39,0
10,Entry long,2025-07-24 12:25,Long,23356.25,27,1261237.5,-438.48,-0.03,0,0.00,-421.74,-0.03,-2192.92,-4.39,0
11,Exit short,2025-07-25 10:05,S-X,23402,16,748800,-83.84,-0.01,0,0.00,-137.92,-0.02,-2276.76,-4.55,0
11,Entry short,2025-07-25 10:05,Short,23400,16,748800,-83.84,-0.01,0,0.00,-137.92,-0.02,-2276.76,-4.55,0
12,Exit short,2025-07-30 12:15,S-X,23532.25,17,800088,-29.58,0.00,116.96,0.01,-27.54,0.00,-2306.34,-4.61,1
12,Entry short,2025-07-30 12:10,Short,23532,17,800088,-29.58,0.00,116.96,0.01,-27.54,0.00,-2306.34,-4.61,1
13,Exit short,2025-08-07 10:30,S-X,23540.25,10,473085,2267.6,0.48,2273.8,0.48,-36.2,-0.01,-38.74,-0.08,5
13,Entry short,2025-08-07 10:05,Short,23654.25,10,473085,2267.6,0.48,2273.8,0.48,-36.2,-0.01,-38.74,-0.08,5
14,Exit short,2025-08-08 10:25,S-X,23666.5,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,-61.36,-0.12,1
14,Entry short,2025-08-08 10:20,Short,23666.25,13,615322.5,-22.62,0.00,310.44,0.05,-99.06,-0.02,-61.36,-0.12,1
