Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
1,Exit long,2024-12-31 11:00,L-X,21330.75,10,426985,-382.4,-0.09,0,0.00,-376.2,-0.09,-382.4,-0.76,0
1,Entry long,2024-12-31 11:00,Long,21349.25,10,426985,-382.4,-0.09,0,0.00,-376.2,-0.09,-382.4,-0.76,0
2,Exit long,2025-01-08 10:35,L-X,21337.75,12,509874,2217.12,0.43,2224.56,0.44,-121.44,-0.02,1834.72,3.67,3
2,Entry long,2025-01-08 10:20,Long,21244.75,12,509874,2217.12,0.43,2224.56,0.44,-121.44,-0.02,1834.72,3.67,3
3,Exit long,2025-01-14 10:50,L-X,20945.75,22,922020,-434.28,-0.05,0,0.00,-420.64,-0.05,1400.44,2.80,0
3,Entry long,2025-01-14 10:50,Long,20955,22,922020,-434.28,-0.05,0,0.00,-420.64,-0.05,1400.44,2.80,0
4,Exit short,2025-01-28 10:10,S-X,21370.25,15,640702.5,-423.6,-0.07,0,0.00,-414.3,-0.06,976.84,1.95,0
4,Entry short,2025-01-28 10:10,Short,21356.75,15,640702.5,-423.6,-0.07,0,0.00,-414.3,-0.06,976.84,1.95,0
5,Exit short,2025-01-29 12:15,S-X,21522.75,15,645675,-26.1,0.00,553.2,0.09,-16.8,0.00,950.74,1.90,1
5,Entry short,2025-01-29 12:10,Short,21522.5,15,645675,-26.1,0.00,553.2,0.09,-16.8,0.00,950.74,1.90,1
6,Exit long,2025-01-30 10:25,L-X,21545.5,13,560579.5,-412.62,-0.07,0,0.00,-404.56,-0.07,538.12,1.08,0
6,Entry long,2025-01-30 10:25,Long,21560.75,13,560579.5,-412.62,-0.07,0,0.00,-404.56,-0.07,538.12,1.08,0
7,Exit short,2025-02-12 12:45,S-X,21794.75,17,741013,-29.58,0.00,1315.46,0.18,-146.54,-0.02,508.54,1.02,4
7,Entry short,2025-02-12 12:25,Short,21794.5,17,741013,-29.58,0.00,1315.46,0.18,-146.54,-0.02,508.54,1.02,4
8,Exit short,2025-02-19 12:00,S-X,22244.75,28,1245300,-440.72,-0.04,276.64,0.02,-423.36,-0.03,67.82,0.14,1
8,Entry short,2025-02-19 11:55,Short,22237.5,28,1245300,-440.72,-0.04,276.64,0.02,-423.36,-0.03,67.82,0.14,1
