date,pnl_usd,trade_num
2024-12-31,-382.40,1
2025-01-08,2217.12,2
2025-01-14,-434.28,2
2025-01-28,-423.60,3
2025-01-29,-26.10,4
2025-01-30,-412.62,5
2025-02-12,-29.58,6
2025-02-19,-440.72,7
2025-02-27,-19.14,8
2025-02-28,-431.02,9
2025-03-06,-104.88,3
2025-03-13,-29.58,1
2025-03-14,-437.76,2
2025-03-18,-17.40,3
2025-03-25,-19.14,4
2025-03-26,-412.08,5
2025-03-27,-58.32,6
2025-04-02,-423.28,7
2025-04-17,2380.16,11
2025-04-22,-437.76,9
2025-04-24,-32.88,10
2025-04-29,-403.84,11
2025-05-07,-392.88,1
2025-05-28,-20.88,2
2025-06-10,-29.58,3
2025-06-17,-38.08,4
2025-06-20,1872.64,5
2025-06-26,-22.62,6
2025-06-27,-20.88,7
2025-07-02,-382.40,5
2025-07-08,-412.08,1
2025-07-16,-395.36,2
2025-07-22,-29.58,3
2025-07-23,-429.08,4
2025-07-24,-438.48,5
2025-07-25,-83.84,6
2025-07-30,-29.58,7
2025-08-07,2267.60,13
2025-08-08,-22.62,9
2025-08-13,-24.36,10
2025-08-21,-419.84,11
2025-09-03,-22.62,3
2025-09-09,-60.28,1
2025-09-10,-62.88,2
2025-09-23,-26.10,3
2025-09-30,2375.20,7
2025-10-16,-387.40,5
2025-10-31,-399.62,2
2025-11-04,2298.90,3
2025-11-05,-418.32,2
2025-11-06,-411.84,3
2025-11-18,2325.12,6
2025-11-21,-419.12,5
2025-11-25,-410.88,6
2025-11-26,-17.40,7
2025-12-02,-406.12,8
2025-12-03,2321.40,2
2025-12-09,-302.28,1
2025-12-16,1935.12,2
2025-12-19,-27.84,3
2026-01-02,1905.12,4
2026-01-06,-27.84,5
2026-01-07,-403.84,6
2026-01-08,1877.60,7
2026-01-13,1900.16,8
2026-01-15,-17.40,9
2026-01-16,-177.40,10
2026-01-21,-337.40,11
2026-01-22,-230.62,12
2026-01-28,-427.32,13
2026-02-10,1942.64,14
2026-02-17,-402.36,15
2026-02-26,-289.12,16
2026-03-05,-395.36,17
2026-03-13,-17.40,18
2026-03-19,-20.88,19
2026-03-20,-22.62,20
2026-03-26,-17.40,21
2026-03-27,-19.14,22
2026-03-31,-419.84,23
2026-04-02,-409.36,24
2026-04-10,-29.58,1
2026-04-16,-393.14,2
2026-04-21,-398.64,3
2026-04-28,-117.40,4
2026-04-30,-26.10,5
2026-05-20,-412.08,1
2026-05-21,1924.16,1
2026-05-22,1968.90,2
2026-05-26,-20.88,3
2026-05-28,-27.84,4
2026-05-29,1937.60,5
2026-06-02,-431.02,6
2026-06-05,1938.86,7
2026-06-09,-409.64,8
2026-06-10,-404.14,9
2026-06-12,-429.08,10
2026-06-17,-404.88,11
2026-06-19,-422.56,12
2026-06-23,-398.88,13
2026-06-24,-410.88,14
2026-06-26,-425.04,15
2026-06-30,-392.40,16
2026-07-01,-27.84,9
2026-07-02,-399.62,18
2026-07-07,-416.88,19
2026-07-08,-416.10,20
2026-07-10,-164.88,21
